"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3222","0.0-0.0","5589a309fdf99b7ae5007c33","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11046","0.0-1.0-0.0","5589a309fdf99b7ae5007c33","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15838","0.0-2.0-0.0","5589a309fdf99b7ae5007c33","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","24891","0.0-2.0-1.0","5589a309fdf99b7ae5007c33","F1","batch6","","9052","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","25693","0.0-2.0-2.0-0.0","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","30562","0.0-2.0-2.0-1.0","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","4798","img/question_1_1.jpeg","1","mat_01","4","0","0","4798","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","31613","0.0-2.0-2.0-0.1","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","34499","0.0-2.0-2.0-1.1","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2882","img/question_1_2.jpeg","4","mat_02","5","1","1","2882","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","35551","0.0-2.0-2.0-0.2","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","38003","0.0-2.0-2.0-1.2","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2450","img/question_1_3.jpeg","0","mat_03","1","1","1","2450","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","39055","0.0-2.0-2.0-0.3","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","40787","0.0-2.0-2.0-1.3","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","1729","img/question_1_4.jpeg","1","mat_04","2","1","1","1729","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","41839","0.0-2.0-2.0-0.4","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","45100","0.0-2.0-2.0-1.4","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","3259","img/question_1_5.jpeg","5","mat_05","6","1","1","3259","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","46152","0.0-2.0-2.0-0.5","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","48517","0.0-2.0-2.0-1.5","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2363","img/question_1_6.jpeg","2","mat_06","3","1","1","2363","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","49569","0.0-2.0-2.0-0.6","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","51769","0.0-2.0-2.0-1.6","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2197","img/question_1_7.jpeg","5","mat_07","6","1","1","2197","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","52820","0.0-2.0-2.0-0.7","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","56210","0.0-2.0-2.0-1.7","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","3387","img/question_1_8.jpeg","1","mat_08","2","1","1","3387","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","57263","0.0-2.0-2.0-0.8","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","59749","0.0-2.0-2.0-1.8","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2483","img/question_1_9.jpeg","0","mat_09","1","1","1","2483","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","60799","0.0-2.0-2.0-0.9","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","63557","0.0-2.0-2.0-1.9","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2755","img/question_1_10.jpeg","2","mat_10","3","1","1","2755","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","64608","0.0-2.0-2.0-0.10","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","71590","0.0-2.0-2.0-1.10","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","6980","img/question_1_11.jpeg","3","mat_11","4","1","1","6980","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","72643","0.0-2.0-2.0-0.11","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","76267","0.0-2.0-2.0-1.11","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","3619","img/question_1_12.jpeg","0","mat_12","5","0","0","3619","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","77319","0.0-2.0-2.0-0.12","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","79238","0.0-2.0-2.0-1.12","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","1917","img/question_2_1.jpeg","1","mat_13","2","1","1","1917","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","80289","0.0-2.0-2.0-0.13","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","82679","0.0-2.0-2.0-1.13","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2388","img/question_2_2.jpeg","5","mat_14","6","1","1","2388","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","83731","0.0-2.0-2.0-0.14","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","85812","0.0-2.0-2.0-1.14","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2078","img/question_2_3.jpeg","0","mat_15","1","1","1","2078","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","86863","0.0-2.0-2.0-0.15","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","89674","0.0-2.0-2.0-1.15","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2808","img/question_2_4.jpeg","1","mat_16","2","1","1","2808","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","90726","0.0-2.0-2.0-0.16","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","92947","0.0-2.0-2.0-1.16","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","2220","img/question_2_5.jpeg","0","mat_17","1","1","1","2220","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","93999","0.0-2.0-2.0-0.17","5589a309fdf99b7ae5007c33","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","98981","0.0-2.0-2.0-1.17","5589a309fdf99b7ae5007c33","F1","batch6","spm_respsonse","4980","img/question_2_6.jpeg","2","mat_18","3","1","1","4980","","","","","","","","","","","","","","","","","","","","",""
