"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1415","0.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","59345","0.0-1.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","63040","0.0-2.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","124247","0.0-2.0-1.0-0.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","[{""page_index"":0,""viewing_time"":14613.100000023842},{""page_index"":1,""viewing_time"":7783.799999952316},{""page_index"":2,""viewing_time"":6395},{""page_index"":3,""viewing_time"":10785.200000047684},{""page_index"":4,""viewing_time"":9896.699999928474},{""page_index"":5,""viewing_time"":6933.600000023842},{""page_index"":6,""viewing_time"":4798.5}]","61206.200000047684","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","125651","0.0-2.0-1.0-1.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","1402.7000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","132830","0.0-2.0-1.0-1.0-1.0","559002fefdf99b3f7aada38f","E1","batch5","","7178.299999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","134928","0.0-2.0-1.0-1.0-2.0","559002fefdf99b3f7aada38f","E1","batch5","","2096.600000023842","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","140376","0.0-2.0-1.0-1.0-3.0","559002fefdf99b3f7aada38f","E1","batch5","","5446.900000095367","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","141332","0.0-2.0-1.0-1.0-4.0","559002fefdf99b3f7aada38f","E1","batch5","","955.6999999284744","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","144491","0.0-2.0-2.0","559002fefdf99b3f7aada38f","E1","batch5","","3157.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","149208","0.0-2.0-3.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","4715","tol_practice","","","","tol_peg_2","4715","4715","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4715","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","157366","0.0-2.0-3.0-1.0","559002fefdf99b3f7aada38f","E1","batch5","","8157","tol_practice","","","","tol_peg_3","8157","8157","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","8157","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","158381","0.0-2.0-4.0","559002fefdf99b3f7aada38f","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","163045","0.0-2.0-5.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","4664","tol_practice","","","","tol_peg_1","4664","4664","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4664","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","164481","0.0-2.0-5.0-1.0","559002fefdf99b3f7aada38f","E1","batch5","","1435","tol_practice","","","","tol_peg_3","1435","1435","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1435","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","166336","0.0-2.0-5.1-0.1","559002fefdf99b3f7aada38f","E1","batch5","","1854","tol_practice","","","","tol_peg_1","1854","1854","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1854","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","167517","0.0-2.0-5.1-1.1","559002fefdf99b3f7aada38f","E1","batch5","","1181","tol_practice","","","","tol_peg_2","1181","1181","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1181","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","168528","0.0-2.0-6.0","559002fefdf99b3f7aada38f","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","172790","0.0-2.0-7.0-0.0","559002fefdf99b3f7aada38f","E1","batch5","","4262","tol_practice","","","","tol_peg_2","4262","4262","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","4262","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","174142","0.0-2.0-7.0-1.0","559002fefdf99b3f7aada38f","E1","batch5","","1352","tol_practice","","","","tol_peg_3","1352","1352","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1352","","","","","","","","","","","","","","",""
