"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1023","0.0-0.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","32676","0.0-1.0-0.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","35547","0.0-2.0-0.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","138871","0.0-2.0-1.0-0.0-0.0","55b237e6fdf99b19ea79d2f7","B2","batch2","[{""page_index"":0,""viewing_time"":11614.300000011921},{""page_index"":1,""viewing_time"":7415.5},{""page_index"":2,""viewing_time"":6767.799999952316},{""page_index"":3,""viewing_time"":14560},{""page_index"":4,""viewing_time"":8767.800000011921},{""page_index"":5,""viewing_time"":50511.30000001192},{""page_index"":6,""viewing_time"":3680}]","103317","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","140312","0.0-2.0-1.0-1.0-0.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","1439","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","143967","0.0-2.0-1.0-1.0-1.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","3653.399999976158","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","145688","0.0-2.0-1.0-1.0-2.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","1717.800000011921","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","148567","0.0-2.0-1.0-1.0-3.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","2878.300000011921","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","149783","0.0-2.0-1.0-1.0-4.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","1214.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","151351","0.0-2.0-2.0","55b237e6fdf99b19ea79d2f7","B2","batch2","","1566.2999999523163","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
