"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","35457","0.0-0.0","55c82012fdf99b02adc2a36e","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","49620","0.0-1.0-0.0","55c82012fdf99b02adc2a36e","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","52338","0.0-2.0-0.0","55c82012fdf99b02adc2a36e","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","63352","0.0-2.0-1.0","55c82012fdf99b02adc2a36e","C3","batch3","","11010.299999952316","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","64162","0.0-2.0-2.0-0.0","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","80608","0.0-2.0-2.0-1.0","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","16429.599999904633","img/question_1_1.jpeg","3","mat_01","4","1","1","16429.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","81683","0.0-2.0-2.0-0.1","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","85316","0.0-2.0-2.0-1.1","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","3627.2000000476837","img/question_1_2.jpeg","4","mat_02","5","1","1","3627.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","86389","0.0-2.0-2.0-0.2","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","90094","0.0-2.0-2.0-1.2","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","3700.4000000953674","img/question_1_3.jpeg","0","mat_03","1","1","1","3700.4000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","91164","0.0-2.0-2.0-0.3","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","94875","0.0-2.0-2.0-1.3","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","3705.0999999046326","img/question_1_4.jpeg","1","mat_04","2","1","1","3705.0999999046326","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","95944","0.0-2.0-2.0-0.4","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","100264","0.0-2.0-2.0-1.4","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4315.099999904633","img/question_1_5.jpeg","5","mat_05","6","1","1","4315.099999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","101327","0.0-2.0-2.0-0.5","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","105334","0.0-2.0-2.0-1.5","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4001.4000000953674","img/question_1_6.jpeg","2","mat_06","3","1","1","4001.4000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","106388","0.0-2.0-2.0-0.6","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","112049","0.0-2.0-2.0-1.6","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","5655.599999904633","img/question_1_7.jpeg","5","mat_07","6","1","1","5655.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","113102","0.0-2.0-2.0-0.7","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","117737","0.0-2.0-2.0-1.7","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4630.400000095367","img/question_1_8.jpeg","1","mat_08","2","1","1","4630.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","118788","0.0-2.0-2.0-0.8","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","124003","0.0-2.0-2.0-1.8","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","5208.200000047684","img/question_1_9.jpeg","0","mat_09","1","1","1","5208.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","125071","0.0-2.0-2.0-0.9","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","129865","0.0-2.0-2.0-1.9","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4788.399999856949","img/question_1_10.jpeg","2","mat_10","3","1","1","4788.399999856949","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","130919","0.0-2.0-2.0-0.10","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","144069","0.0-2.0-2.0-1.10","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","13144.900000095367","img/question_1_11.jpeg","3","mat_11","4","1","1","13144.900000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","145128","0.0-2.0-2.0-0.11","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","154079","0.0-2.0-2.0-1.11","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","8945.100000143051","img/question_1_12.jpeg","4","mat_12","5","1","1","8945.100000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","155147","0.0-2.0-2.0-0.12","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","157413","0.0-2.0-2.0-1.12","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","2260.2999999523163","img/question_2_1.jpeg","1","mat_13","2","1","1","2260.2999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","158474","0.0-2.0-2.0-0.13","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","162870","0.0-2.0-2.0-1.13","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4391.299999952316","img/question_2_2.jpeg","5","mat_14","6","1","1","4391.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","163925","0.0-2.0-2.0-0.14","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","167975","0.0-2.0-2.0-1.14","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4044.4000000953674","img/question_2_3.jpeg","0","mat_15","1","1","1","4044.4000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","169043","0.0-2.0-2.0-0.15","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","172434","0.0-2.0-2.0-1.15","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","3389","img/question_2_4.jpeg","1","mat_16","2","1","1","3389","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","173504","0.0-2.0-2.0-0.16","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","178501","0.0-2.0-2.0-1.16","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","4991.200000047684","img/question_2_5.jpeg","0","mat_17","1","1","1","4991.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","179562","0.0-2.0-2.0-0.17","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","187271","0.0-2.0-2.0-1.17","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","7702.5","img/question_2_6.jpeg","2","mat_18","3","1","1","7702.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","188336","0.0-2.0-2.0-0.18","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","191738","0.0-2.0-2.0-1.18","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","3396.600000143051","img/question_2_7.jpeg","4","mat_19","5","1","1","3396.600000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","192791","0.0-2.0-2.0-0.19","55c82012fdf99b02adc2a36e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","196530","0.0-2.0-2.0-1.19","55c82012fdf99b02adc2a36e","C3","batch3","spm_respsonse","3735.100000143051","img/question_2_8.jpeg","5","mat_20","6","1","1","3735.100000143051","","","","","","","","","","","","","","","","","","","","",""
