"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","762","0.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","27898","0.0-1.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","31102","0.0-2.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","87986","0.0-2.0-1.0-0.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","[{""page_index"":0,""viewing_time"":8002.299999952316},{""page_index"":1,""viewing_time"":12527.700000047684},{""page_index"":2,""viewing_time"":6295.899999856949},{""page_index"":3,""viewing_time"":12575.900000095367},{""page_index"":4,""viewing_time"":6928.200000047684},{""page_index"":5,""viewing_time"":6848.099999904633},{""page_index"":6,""viewing_time"":3703.7999999523163}]","56882.09999990463","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","89274","0.0-2.0-1.0-1.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","","1287.5999999046326","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","100378","0.0-2.0-1.0-1.0-1.0","55cb5f66fdf99b2da2a053af","E1","batch5","","11102.5","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","101914","0.0-2.0-1.0-1.0-2.0","55cb5f66fdf99b2da2a053af","E1","batch5","","1534.5","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","105482","0.0-2.0-1.0-1.0-3.0","55cb5f66fdf99b2da2a053af","E1","batch5","","3567.399999856949","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","106522","0.0-2.0-1.0-1.0-4.0","55cb5f66fdf99b2da2a053af","E1","batch5","","1039","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","108865","0.0-2.0-2.0","55cb5f66fdf99b2da2a053af","E1","batch5","","2342.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","112163","0.0-2.0-3.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","","3296","tol_practice","","","","tol_peg_2","3296","3296","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3296","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","115834","0.0-2.0-3.0-1.0","55cb5f66fdf99b2da2a053af","E1","batch5","","3671","tol_practice","","","","tol_peg_3","3671","3671","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","3671","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","116849","0.0-2.0-4.0","55cb5f66fdf99b2da2a053af","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","119923","0.0-2.0-5.0-0.0","55cb5f66fdf99b2da2a053af","E1","batch5","","3074","tol_practice","","","","tol_peg_1","3074","3074","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3074","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","121514","0.0-2.0-5.0-1.0","55cb5f66fdf99b2da2a053af","E1","batch5","","1591","tol_practice","","","","tol_peg_3","1591","1591","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1591","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","122418","0.0-2.0-5.1-0.1","55cb5f66fdf99b2da2a053af","E1","batch5","","903","tol_practice","","","","tol_peg_1","903","903","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","903","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","123082","0.0-2.0-5.1-1.1","55cb5f66fdf99b2da2a053af","E1","batch5","","664","tol_practice","","","","tol_peg_2","664","664","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","664","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","124088","0.0-2.0-6.0","55cb5f66fdf99b2da2a053af","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
