"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","28462","0.0-0.0","55d5e2c9db6a810006fa078b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","445060","0.0-1.0-0.0","55d5e2c9db6a810006fa078b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","447528","0.0-2.0-0.0","55d5e2c9db6a810006fa078b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","496111","0.0-2.0-1.0-0.0-0.0","55d5e2c9db6a810006fa078b","E1","batch5","[{""page_index"":0,""viewing_time"":7574.300000071526},{""page_index"":1,""viewing_time"":4072},{""page_index"":2,""viewing_time"":2791.899999976158},{""page_index"":3,""viewing_time"":10112},{""page_index"":4,""viewing_time"":10575.700000047684},{""page_index"":5,""viewing_time"":11543.899999976158},{""page_index"":6,""viewing_time"":1912.1000000238419}]","48582.10000002384","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","497127","0.0-2.0-1.0-1.0-0.0","55d5e2c9db6a810006fa078b","E1","batch5","","1015.1000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","501752","0.0-2.0-1.0-1.0-1.0","55d5e2c9db6a810006fa078b","E1","batch5","","4624","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","502919","0.0-2.0-1.0-1.0-2.0","55d5e2c9db6a810006fa078b","E1","batch5","","1166.3999999761581","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","505534","0.0-2.0-1.0-1.0-3.0","55d5e2c9db6a810006fa078b","E1","batch5","","2614.899999976158","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","506327","0.0-2.0-1.0-1.0-4.0","55d5e2c9db6a810006fa078b","E1","batch5","","791.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","507807","0.0-2.0-2.0","55d5e2c9db6a810006fa078b","E1","batch5","","1479","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
