"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1718","0.0-0.0","55f244e632af740012170458","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4845","0.0-1.0-0.0","55f244e632af740012170458","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6795","0.0-2.0-0.0","55f244e632af740012170458","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","16192","0.0-2.0-1.0","55f244e632af740012170458","D2","batch4","","9393.299999952316","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","17001","0.0-2.0-2.0-0.0","55f244e632af740012170458","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","20419","0.0-2.0-2.0-1.0","55f244e632af740012170458","D2","batch4","spm_respsonse","3407.7999999523163","img/question_1_1.jpeg","3","mat_01","4","1","1","3407.7999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","21483","0.0-2.0-2.0-0.1","55f244e632af740012170458","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","24505","0.0-2.0-2.0-1.1","55f244e632af740012170458","D2","batch4","spm_respsonse","3016.5","img/question_1_2.jpeg","4","mat_02","5","1","1","3016.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","25579","0.0-2.0-2.0-0.2","55f244e632af740012170458","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","27964","0.0-2.0-2.0-1.2","55f244e632af740012170458","D2","batch4","spm_respsonse","2382.2000000476837","img/question_1_3.jpeg","0","mat_03","1","1","1","2382.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","29031","0.0-2.0-2.0-0.3","55f244e632af740012170458","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","31850","0.0-2.0-2.0-1.3","55f244e632af740012170458","D2","batch4","spm_respsonse","2813.2999999523163","img/question_1_4.jpeg","2","mat_04","2","0","0","2813.2999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","32921","0.0-2.0-2.0-0.4","55f244e632af740012170458","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
