"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","8204","0.0-0.0","5654b02b04212700104a1d45","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","19148","0.0-1.0-0.0","5654b02b04212700104a1d45","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22514","0.0-2.0-0.0","5654b02b04212700104a1d45","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","29053","0.0-2.0-1.0","5654b02b04212700104a1d45","D2","batch4","","6537","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","29858","0.0-2.0-2.0-0.0","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","37559","0.0-2.0-2.0-1.0","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","7699","img/question_1_1.jpeg","2","mat_01","4","0","0","7699","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","38628","0.0-2.0-2.0-0.1","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","46967","0.0-2.0-2.0-1.1","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","8335","img/question_1_2.jpeg","4","mat_02","5","1","1","8335","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","48033","0.0-2.0-2.0-0.2","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","50554","0.0-2.0-2.0-1.2","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","2517","img/question_1_3.jpeg","0","mat_03","1","1","1","2517","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","51635","0.0-2.0-2.0-0.3","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","54349","0.0-2.0-2.0-1.3","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","2714","img/question_1_4.jpeg","1","mat_04","2","1","1","2714","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","55424","0.0-2.0-2.0-0.4","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","59279","0.0-2.0-2.0-1.4","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","3854","img/question_1_5.jpeg","5","mat_05","6","1","1","3854","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","60347","0.0-2.0-2.0-0.5","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","63351","0.0-2.0-2.0-1.5","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","3002","img/question_1_6.jpeg","2","mat_06","3","1","1","3002","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","64408","0.0-2.0-2.0-0.6","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","70085","0.0-2.0-2.0-1.6","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","5675","img/question_1_7.jpeg","5","mat_07","6","1","1","5675","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","71151","0.0-2.0-2.0-0.7","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","77223","0.0-2.0-2.0-1.7","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","6070","img/question_1_8.jpeg","1","mat_08","2","1","1","6070","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","78291","0.0-2.0-2.0-0.8","5654b02b04212700104a1d45","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","82770","0.0-2.0-2.0-1.8","5654b02b04212700104a1d45","D2","batch4","spm_respsonse","4477","img/question_1_9.jpeg","0","mat_09","1","1","1","4477","","","","","","","","","","","","","","","","","","","","",""
