"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","6002","0.0-0.0","5678620289319e0011651232","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26849","0.0-1.0-0.0","5678620289319e0011651232","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","30607","0.0-2.0-0.0","5678620289319e0011651232","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","43434","0.0-2.0-1.0","5678620289319e0011651232","E1","batch5","","12825.899999856949","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","44240","0.0-2.0-2.0-0.0","5678620289319e0011651232","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","48439","0.0-2.0-2.0-1.0","5678620289319e0011651232","E1","batch5","spm_respsonse","4197.399999856949","img/question_1_1.jpeg","3","mat_01","4","1","1","4197.399999856949","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","49497","0.0-2.0-2.0-0.1","5678620289319e0011651232","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","51445","0.0-2.0-2.0-1.1","5678620289319e0011651232","E1","batch5","spm_respsonse","1947.4000000953674","img/question_1_2.jpeg","4","mat_02","5","1","1","1947.4000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","52505","0.0-2.0-2.0-0.2","5678620289319e0011651232","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","55985","0.0-2.0-2.0-1.2","5678620289319e0011651232","E1","batch5","spm_respsonse","3479.699999809265","img/question_1_3.jpeg","0","mat_03","1","1","1","3479.699999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","57059","0.0-2.0-2.0-0.3","5678620289319e0011651232","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","59460","0.0-2.0-2.0-1.3","5678620289319e0011651232","E1","batch5","spm_respsonse","2399.600000143051","img/question_1_4.jpeg","1","mat_04","2","1","1","2399.600000143051","","","","","","","","","","","","","","","","","","","","",""
