"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","13980","0.0-0.0","56ac1289f209e0000cdabbe6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21284","0.0-1.0-0.0","56ac1289f209e0000cdabbe6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","25093","0.0-2.0-0.0","56ac1289f209e0000cdabbe6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","56208","0.0-2.0-1.0-0.0","56ac1289f209e0000cdabbe6","E1","batch5","[{""page_index"":0,""viewing_time"":22564.89999985695},{""page_index"":1,""viewing_time"":8547.800000190735}]","31113","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","58204","0.0-2.0-1.0-1.0-0.0","56ac1289f209e0000cdabbe6","E1","batch5","","1995.2999999523163","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","62274","0.0-2.0-1.0-1.0-1.0","56ac1289f209e0000cdabbe6","E1","batch5","","4068.2000000476837","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","64188","0.0-2.0-1.0-1.0-2.0","56ac1289f209e0000cdabbe6","E1","batch5","","1912","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","68384","0.0-2.0-1.0-1.0-3.0","56ac1289f209e0000cdabbe6","E1","batch5","","4195.100000143051","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","69668","0.0-2.0-1.0-1.0-4.0","56ac1289f209e0000cdabbe6","E1","batch5","","1283.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","71764","0.0-2.0-2.0","56ac1289f209e0000cdabbe6","E1","batch5","","2093.7999999523163","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","74768","0.0-2.0-3.0-0.0","56ac1289f209e0000cdabbe6","E1","batch5","","3001.5999999046326","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","75784","0.0-2.0-3.0-1.0","56ac1289f209e0000cdabbe6","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","77814","0.0-2.0-3.0-0.1","56ac1289f209e0000cdabbe6","E1","batch5","","2028.2000000476837","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","78825","0.0-2.0-3.0-1.1","56ac1289f209e0000cdabbe6","E1","batch5","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","82229","0.0-2.0-3.0-0.2","56ac1289f209e0000cdabbe6","E1","batch5","","3402.5","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","83241","0.0-2.0-3.0-1.2","56ac1289f209e0000cdabbe6","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
