"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1276","0.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16092","0.0-1.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18881","0.0-2.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","75806","0.0-2.0-1.0-0.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","[{""page_index"":0,""viewing_time"":10106.900000095367},{""page_index"":1,""viewing_time"":5279.699999928474},{""page_index"":2,""viewing_time"":5208},{""page_index"":3,""viewing_time"":11871.899999976158},{""page_index"":4,""viewing_time"":5952.100000023842},{""page_index"":5,""viewing_time"":14946.399999976158},{""page_index"":6,""viewing_time"":3557.7000000476837}]","56922.90000009537","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","76806","0.0-2.0-1.0-1.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","999.1000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","82382","0.0-2.0-1.0-1.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","5574.799999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","83534","0.0-2.0-1.0-1.0-2.0","5711110152ab8e0008d0dc05","F1","batch6","","1150.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","86622","0.0-2.0-1.0-1.0-3.0","5711110152ab8e0008d0dc05","F1","batch6","","3087.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","87470","0.0-2.0-1.0-1.0-4.0","5711110152ab8e0008d0dc05","F1","batch6","","847.1999999284744","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","89766","0.0-2.0-2.0","5711110152ab8e0008d0dc05","F1","batch6","","2294.600000023842","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","92895","0.0-2.0-3.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","3128","tol_practice","","","","tol_peg_2","3128","3128","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3128","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","93878","0.0-2.0-3.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","981","tol_practice","","","","tol_peg_3","981","981","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","981","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","94895","0.0-2.0-4.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","98406","0.0-2.0-5.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","3510","tol_practice","","","","tol_peg_1","3510","3510","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3510","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","100006","0.0-2.0-5.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","1600","tol_practice","","","","tol_peg_3","1600","1600","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1600","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","100862","0.0-2.0-5.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","856","tol_practice","","","","tol_peg_1","856","856","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","856","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","101575","0.0-2.0-5.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","713","tol_practice","","","","tol_peg_2","713","713","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","713","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","102591","0.0-2.0-6.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","105870","0.0-2.0-7.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","3278","tol_practice","","","","tol_peg_2","3278","3278","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3278","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","106855","0.0-2.0-7.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","985","tol_practice","","","","tol_peg_3","985","985","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","985","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","107798","0.0-2.0-7.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","942","tol_practice","","","","tol_peg_1","942","942","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","942","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","108398","0.0-2.0-7.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","600","tol_practice","","","","tol_peg_2","600","600","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","600","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","109405","0.0-2.0-8.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","112046","0.0-2.0-9.0","5711110152ab8e0008d0dc05","F1","batch6","","2639.2999999523163","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","118502","0.0-2.0-10.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","5454","tol_tohand","","","","tol_peg_1","5454","5454","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","119230","0.0-2.0-10.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","727","tol_toboard","","","","tol_peg_3","727","727","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","119830","0.0-2.0-10.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","599","tol_tohand","","","","tol_peg_2","599","599","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","120710","0.0-2.0-10.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","879","tol_toboard","","","","tol_peg_1","879","879","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","121558","0.0-2.0-10.2-0.2","5711110152ab8e0008d0dc05","F1","batch6","","848","tol_tohand","","","","tol_peg_3","848","848","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","122117","0.0-2.0-10.2-1.2","5711110152ab8e0008d0dc05","F1","batch6","","559","tol_toboard","","","","tol_peg_2","559","559","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","123131","0.0-2.0-11.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","5454","6901","","","","","","","","","",""
"","","","","","html-button-response","31","123990","0.0-2.0-12.0","5711110152ab8e0008d0dc05","F1","batch6","","857.5","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","130190","0.0-2.0-13.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","6199","tol_tohand","","","","tol_peg_1","6199","6199","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","131470","0.0-2.0-13.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","1279","tol_toboard","","","","tol_peg_3","1279","1279","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","144350","0.0-2.0-13.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","12879","tol_tohand","","","","tol_peg_1","12879","12879","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","144973","0.0-2.0-13.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","623","tol_toboard","","","","tol_peg_2","623","623","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","145814","0.0-2.0-13.2-0.2","5711110152ab8e0008d0dc05","F1","batch6","","840","tol_tohand","","","","tol_peg_3","840","840","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","146886","0.0-2.0-13.2-1.2","5711110152ab8e0008d0dc05","F1","batch6","","1071","tol_toboard","","","","tol_peg_1","1071","1071","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","147461","0.0-2.0-13.3-0.3","5711110152ab8e0008d0dc05","F1","batch6","","575","tol_tohand","","","","tol_peg_2","575","575","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","148062","0.0-2.0-13.3-1.3","5711110152ab8e0008d0dc05","F1","batch6","","599","tol_toboard","","","","tol_peg_1","599","599","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","148614","0.0-2.0-13.4-0.4","5711110152ab8e0008d0dc05","F1","batch6","","552","tol_tohand","","","","tol_peg_2","552","552","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","149222","0.0-2.0-13.4-1.4","5711110152ab8e0008d0dc05","F1","batch6","","607","tol_toboard","","","","tol_peg_1","607","607","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","150228","0.0-2.0-14.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","6199","21045","","","","","","","","","",""
"","","","","","html-button-response","43","151310","0.0-2.0-15.0","5711110152ab8e0008d0dc05","F1","batch6","","1080.3999999761581","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","156166","0.0-2.0-16.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","4855","tol_tohand","","","","tol_peg_1","4855","4855","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","156823","0.0-2.0-16.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","656","tol_toboard","","","","tol_peg_2","656","656","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","46","158134","0.0-2.0-16.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","1310","tol_tohand","","","","tol_peg_1","1310","1310","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","158733","0.0-2.0-16.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","599","tol_toboard","","","","tol_peg_2","599","599","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","159542","0.0-2.0-16.2-0.2","5711110152ab8e0008d0dc05","F1","batch6","","807","tol_tohand","","","","tol_peg_3","807","807","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","160398","0.0-2.0-16.2-1.2","5711110152ab8e0008d0dc05","F1","batch6","","855","tol_toboard","","","","tol_peg_1","855","855","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","161061","0.0-2.0-16.3-0.3","5711110152ab8e0008d0dc05","F1","batch6","","663","tol_tohand","","","","tol_peg_2","663","663","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","161718","0.0-2.0-16.3-1.3","5711110152ab8e0008d0dc05","F1","batch6","","655","tol_toboard","","","","tol_peg_1","655","655","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","52","162721","0.0-2.0-17.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","4855","7635","","","","","","","","","",""
"","","","","","html-button-response","53","163478","0.0-2.0-18.0","5711110152ab8e0008d0dc05","F1","batch6","","755.6999999284744","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","54","170366","0.0-2.0-19.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","6887","tol_tohand","","","","tol_peg_2","6887","6887","0","[[3,0,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","55","171141","0.0-2.0-19.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","775","tol_toboard","","","","tol_peg_1","775","775","0","[[3,1,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","56","171813","0.0-2.0-19.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","671","tol_tohand","","","","tol_peg_2","671","671","0","[[3,1,0],[0,0],[0]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","57","173005","0.0-2.0-19.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","1191","tol_toboard","","","","tol_peg_3","1191","1191","0","[[3,1,0],[0,0],[2]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","58","173613","0.0-2.0-19.2-0.2","5711110152ab8e0008d0dc05","F1","batch6","","607","tol_tohand","","","","tol_peg_1","607","607","0","[[3,0,0],[0,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","59","174359","0.0-2.0-19.2-1.2","5711110152ab8e0008d0dc05","F1","batch6","","745","tol_toboard","","","","tol_peg_2","745","745","0","[[3,0,0],[1,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","60","175361","0.0-2.0-20.0","5711110152ab8e0008d0dc05","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","6887","8165","","","","","","","","","",""
"","","","","","html-button-response","61","176037","0.0-2.0-21.0","5711110152ab8e0008d0dc05","F1","batch6","","674.7000000476837","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>5</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","62","185397","0.0-2.0-22.0-0.0","5711110152ab8e0008d0dc05","F1","batch6","","9359","tol_tohand","","","","tol_peg_3","9359","9359","0","[[1,0,0],[2,0],[0]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","63","186485","0.0-2.0-22.0-1.0","5711110152ab8e0008d0dc05","F1","batch6","","1087","tol_toboard","","","","tol_peg_1","1087","1087","0","[[1,3,0],[2,0],[0]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","64","187141","0.0-2.0-22.1-0.1","5711110152ab8e0008d0dc05","F1","batch6","","655","tol_tohand","","","","tol_peg_2","655","655","0","[[1,3,0],[0,0],[0]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","65","192445","0.0-2.0-22.1-1.1","5711110152ab8e0008d0dc05","F1","batch6","","5303","tol_toboard","","","","tol_peg_3","5303","5303","0","[[1,3,0],[0,0],[2]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
