"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2297","0.0-0.0","578bcb2c09fb91000133750e","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14131","0.0-1.0-0.0","578bcb2c09fb91000133750e","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18343","0.0-2.0-0.0","578bcb2c09fb91000133750e","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","30540","0.0-2.0-1.0","578bcb2c09fb91000133750e","C3","batch3","","12194","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","31350","0.0-2.0-2.0-0.0","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","35707","0.0-2.0-2.0-1.0","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4350.399999976158","img/question_1_1.jpeg","3","mat_01","4","1","1","4350.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","36775","0.0-2.0-2.0-0.1","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","40156","0.0-2.0-2.0-1.1","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","3378.5","img/question_1_2.jpeg","4","mat_02","5","1","1","3378.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","41221","0.0-2.0-2.0-0.2","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","43840","0.0-2.0-2.0-1.2","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","2615.2999999523163","img/question_1_3.jpeg","0","mat_03","1","1","1","2615.2999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","44906","0.0-2.0-2.0-0.3","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","47940","0.0-2.0-2.0-1.3","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","3030.899999976158","img/question_1_4.jpeg","1","mat_04","2","1","1","3030.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","49008","0.0-2.0-2.0-0.4","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","53456","0.0-2.0-2.0-1.4","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4445.299999952316","img/question_1_5.jpeg","5","mat_05","6","1","1","4445.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","54519","0.0-2.0-2.0-0.5","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","57522","0.0-2.0-2.0-1.5","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","3000.5","img/question_1_6.jpeg","2","mat_06","3","1","1","3000.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","58591","0.0-2.0-2.0-0.6","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","61856","0.0-2.0-2.0-1.6","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","3262","img/question_1_7.jpeg","5","mat_07","6","1","1","3262","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","62921","0.0-2.0-2.0-0.7","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","73656","0.0-2.0-2.0-1.7","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","10731.5","img/question_1_8.jpeg","1","mat_08","2","1","1","10731.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","74716","0.0-2.0-2.0-0.8","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","80939","0.0-2.0-2.0-1.8","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","6219.200000047684","img/question_1_9.jpeg","0","mat_09","1","1","1","6219.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","82000","0.0-2.0-2.0-0.9","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","90788","0.0-2.0-2.0-1.9","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","8785.100000023842","img/question_1_10.jpeg","2","mat_10","3","1","1","8785.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","91847","0.0-2.0-2.0-0.10","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","105740","0.0-2.0-2.0-1.10","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","13889.400000095367","img/question_1_11.jpeg","3","mat_11","4","1","1","13889.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","106808","0.0-2.0-2.0-0.11","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","117738","0.0-2.0-2.0-1.11","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","10927.200000047684","img/question_1_12.jpeg","4","mat_12","5","1","1","10927.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","118799","0.0-2.0-2.0-0.12","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","122372","0.0-2.0-2.0-1.12","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","3569.100000023842","img/question_2_1.jpeg","1","mat_13","2","1","1","3569.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","123439","0.0-2.0-2.0-0.13","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","128106","0.0-2.0-2.0-1.13","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4663.200000047684","img/question_2_2.jpeg","5","mat_14","6","1","1","4663.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","129166","0.0-2.0-2.0-0.14","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","133373","0.0-2.0-2.0-1.14","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4202.899999976158","img/question_2_3.jpeg","0","mat_15","1","1","1","4202.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","134435","0.0-2.0-2.0-0.15","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","140039","0.0-2.0-2.0-1.15","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","5601.899999976158","img/question_2_4.jpeg","1","mat_16","2","1","1","5601.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","141100","0.0-2.0-2.0-0.16","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","145490","0.0-2.0-2.0-1.16","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4386.200000047684","img/question_2_5.jpeg","0","mat_17","1","1","1","4386.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","146559","0.0-2.0-2.0-0.17","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","153206","0.0-2.0-2.0-1.17","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","6644.5","img/question_2_6.jpeg","2","mat_18","3","1","1","6644.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","154266","0.0-2.0-2.0-0.18","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","160440","0.0-2.0-2.0-1.18","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","6169.800000071526","img/question_2_7.jpeg","4","mat_19","5","1","1","6169.800000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","161499","0.0-2.0-2.0-0.19","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","166156","0.0-2.0-2.0-1.19","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4652.599999904633","img/question_2_8.jpeg","2","mat_20","6","0","0","4652.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","167222","0.0-2.0-2.0-0.20","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","172673","0.0-2.0-2.0-1.20","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","5446.5","img/question_2_9.jpeg","3","mat_21","4","1","1","5446.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","173742","0.0-2.0-2.0-0.21","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","178323","0.0-2.0-2.0-1.21","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","4577.400000095367","img/question_2_10.jpeg","2","mat_22","3","1","1","4577.400000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","179390","0.0-2.0-2.0-0.22","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","184706","0.0-2.0-2.0-1.22","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","5312.200000047684","img/question_2_11.jpeg","3","mat_23","4","1","1","5312.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","185771","0.0-2.0-2.0-0.23","578bcb2c09fb91000133750e","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","194973","0.0-2.0-2.0-1.23","578bcb2c09fb91000133750e","C3","batch3","spm_respsonse","9198","img/question_2_12.jpeg","4","mat_24","5","1","1","9198","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","197173","0.0-2.0-3.0","578bcb2c09fb91000133750e","C3","batch3","attention_check","1946","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
