"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1867","0.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10304","0.0-1.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13115","0.0-2.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","78465","0.0-2.0-1.0-0.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","[{""page_index"":0,""viewing_time"":13150.100000023842},{""page_index"":1,""viewing_time"":7184.5},{""page_index"":2,""viewing_time"":8075.899999976158},{""page_index"":3,""viewing_time"":11881.700000047684},{""page_index"":4,""viewing_time"":6832.699999988079},{""page_index"":5,""viewing_time"":15250},{""page_index"":6,""viewing_time"":2970.199999988079}]","65345.60000002384","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","79951","0.0-2.0-1.0-1.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","1482.8999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","94477","0.0-2.0-1.0-1.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","14523.699999988079","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","96107","0.0-2.0-1.0-1.0-2.0","57be89f4c7fcbf0001c39491","A3","batch1","","1626.0999999642372","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","99076","0.0-2.0-1.0-1.0-3.0","57be89f4c7fcbf0001c39491","A3","batch1","","2965.899999976158","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","100344","0.0-2.0-1.0-1.0-4.0","57be89f4c7fcbf0001c39491","A3","batch1","","1265.699999988079","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","102625","0.0-2.0-2.0","57be89f4c7fcbf0001c39491","A3","batch1","","2278.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","106262","0.0-2.0-3.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","3633","tol_practice","","","","tol_peg_2","3633","3633","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3633","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","108081","0.0-2.0-3.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","1817","tol_practice","","","","tol_peg_3","1817","1817","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1817","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","109087","0.0-2.0-4.0","57be89f4c7fcbf0001c39491","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","114403","0.0-2.0-5.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","5313","tol_practice","","","","tol_peg_1","5313","5313","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","5313","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","116403","0.0-2.0-5.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","1998","tol_practice","","","","tol_peg_3","1998","1998","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1998","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","118115","0.0-2.0-5.1-0.1","57be89f4c7fcbf0001c39491","A3","batch1","","1710","tol_practice","","","","tol_peg_1","1710","1710","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1710","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","119581","0.0-2.0-5.1-1.1","57be89f4c7fcbf0001c39491","A3","batch1","","1464","tol_practice","","","","tol_peg_2","1464","1464","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1464","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","120598","0.0-2.0-6.0","57be89f4c7fcbf0001c39491","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","125620","0.0-2.0-7.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","5021","tol_practice","","","","tol_peg_2","5021","5021","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","5021","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","127252","0.0-2.0-7.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","1630","tol_practice","","","","tol_peg_3","1630","1630","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1630","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","128352","0.0-2.0-7.1-0.1","57be89f4c7fcbf0001c39491","A3","batch1","","1098","tol_practice","","","","tol_peg_1","1098","1098","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1098","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","129731","0.0-2.0-7.1-1.1","57be89f4c7fcbf0001c39491","A3","batch1","","1377","tol_practice","","","","tol_peg_2","1377","1377","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1377","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","130734","0.0-2.0-8.0","57be89f4c7fcbf0001c39491","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","134225","0.0-2.0-9.0","57be89f4c7fcbf0001c39491","A3","batch1","","3489.699999988079","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","143227","0.0-2.0-10.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","7995","tol_tohand","","","","tol_peg_1","7995","7995","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","144859","0.0-2.0-10.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","1629","tol_toboard","","","","tol_peg_3","1629","1629","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","146140","0.0-2.0-10.1-0.1","57be89f4c7fcbf0001c39491","A3","batch1","","1279","tol_tohand","","","","tol_peg_2","1279","1279","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","148046","0.0-2.0-10.1-1.1","57be89f4c7fcbf0001c39491","A3","batch1","","1905","tol_toboard","","","","tol_peg_1","1905","1905","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","149434","0.0-2.0-10.2-0.2","57be89f4c7fcbf0001c39491","A3","batch1","","1386","tol_tohand","","","","tol_peg_3","1386","1386","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","150683","0.0-2.0-10.2-1.2","57be89f4c7fcbf0001c39491","A3","batch1","","1247","tol_toboard","","","","tol_peg_2","1247","1247","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","151694","0.0-2.0-11.0","57be89f4c7fcbf0001c39491","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","7995","10660","","","","","","","","","",""
"","","","","","html-button-response","31","153387","0.0-2.0-12.0","57be89f4c7fcbf0001c39491","A3","batch1","","1690.6000000238419","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","166243","0.0-2.0-13.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","12854","tol_tohand","","","","tol_peg_1","12854","12854","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","168027","0.0-2.0-13.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","1781","tol_toboard","","","","tol_peg_3","1781","1781","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","171078","0.0-2.0-13.1-0.1","57be89f4c7fcbf0001c39491","A3","batch1","","3050","tol_tohand","","","","tol_peg_1","3050","3050","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","174941","0.0-2.0-13.1-1.1","57be89f4c7fcbf0001c39491","A3","batch1","","3860","tol_toboard","","","","tol_peg_2","3860","3860","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","176344","0.0-2.0-13.2-0.2","57be89f4c7fcbf0001c39491","A3","batch1","","1400","tol_tohand","","","","tol_peg_3","1400","1400","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","177846","0.0-2.0-13.2-1.2","57be89f4c7fcbf0001c39491","A3","batch1","","1500","tol_toboard","","","","tol_peg_1","1500","1500","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","180260","0.0-2.0-13.3-0.3","57be89f4c7fcbf0001c39491","A3","batch1","","2413","tol_tohand","","","","tol_peg_2","2413","2413","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","182129","0.0-2.0-13.3-1.3","57be89f4c7fcbf0001c39491","A3","batch1","","1868","tol_toboard","","","","tol_peg_1","1868","1868","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","183317","0.0-2.0-13.4-0.4","57be89f4c7fcbf0001c39491","A3","batch1","","1186","tol_tohand","","","","tol_peg_2","1186","1186","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","185040","0.0-2.0-13.4-1.4","57be89f4c7fcbf0001c39491","A3","batch1","","1721","tol_toboard","","","","tol_peg_1","1721","1721","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","186043","0.0-2.0-14.0","57be89f4c7fcbf0001c39491","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","12854","20903","","","","","","","","","",""
"","","","","","html-button-response","43","187704","0.0-2.0-15.0","57be89f4c7fcbf0001c39491","A3","batch1","","1659.7000000476837","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","199692","0.0-2.0-16.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","11985","tol_tohand","","","","tol_peg_1","11985","11985","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","201340","0.0-2.0-16.0-1.0","57be89f4c7fcbf0001c39491","A3","batch1","","1646","tol_toboard","","","","tol_peg_2","1646","1646","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","46","203937","0.0-2.0-16.1-0.1","57be89f4c7fcbf0001c39491","A3","batch1","","2596","tol_tohand","","","","tol_peg_1","2596","2596","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","205968","0.0-2.0-16.1-1.1","57be89f4c7fcbf0001c39491","A3","batch1","","2028","tol_toboard","","","","tol_peg_2","2028","2028","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","207379","0.0-2.0-16.2-0.2","57be89f4c7fcbf0001c39491","A3","batch1","","1409","tol_tohand","","","","tol_peg_3","1409","1409","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","209118","0.0-2.0-16.2-1.2","57be89f4c7fcbf0001c39491","A3","batch1","","1737","tol_toboard","","","","tol_peg_1","1737","1737","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","210502","0.0-2.0-16.3-0.3","57be89f4c7fcbf0001c39491","A3","batch1","","1381","tol_tohand","","","","tol_peg_2","1381","1381","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","211696","0.0-2.0-16.3-1.3","57be89f4c7fcbf0001c39491","A3","batch1","","1192","tol_toboard","","","","tol_peg_1","1192","1192","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","52","212708","0.0-2.0-17.0","57be89f4c7fcbf0001c39491","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","11985","17371","","","","","","","","","",""
"","","","","","html-button-response","53","219855","0.0-2.0-18.0","57be89f4c7fcbf0001c39491","A3","batch1","","7145.400000035763","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","54","229199","0.0-2.0-19.0-0.0","57be89f4c7fcbf0001c39491","A3","batch1","","9341","tol_tohand","","","","tol_peg_2","9341","9341","0","[[3,0,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
