"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","7863","0.0-0.0","57dd4c6f73e67300012b7ed6","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21804","0.0-1.0-0.0","57dd4c6f73e67300012b7ed6","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26330","0.0-2.0-0.0","57dd4c6f73e67300012b7ed6","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","40706","0.0-2.0-1.0-0.0","57dd4c6f73e67300012b7ed6","A3","batch1","[{""page_index"":0,""viewing_time"":9546.700000017881},{""page_index"":1,""viewing_time"":4828.5}]","14375.40000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","41994","0.0-2.0-1.0-1.0-0.0","57dd4c6f73e67300012b7ed6","A3","batch1","","1286.800000011921","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","43606","0.0-2.0-1.0-1.0-1.0","57dd4c6f73e67300012b7ed6","A3","batch1","","1611.3999999761581","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","45762","0.0-2.0-1.0-1.0-2.0","57dd4c6f73e67300012b7ed6","A3","batch1","","2155.0999999940395","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","49158","0.0-2.0-1.0-1.0-3.0","57dd4c6f73e67300012b7ed6","A3","batch1","","3395.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","50155","0.0-2.0-1.0-1.0-4.0","57dd4c6f73e67300012b7ed6","A3","batch1","","996.5999999940395","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","52554","0.0-2.0-2.0","57dd4c6f73e67300012b7ed6","A3","batch1","","2397.5999999940395","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
