"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3264","0.0-0.0","580777dd827ca10001db494b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17478","0.0-1.0-0.0","580777dd827ca10001db494b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22270","0.0-2.0-0.0","580777dd827ca10001db494b","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","41893","0.0-2.0-1.0-0.0","580777dd827ca10001db494b","E1","batch5","[{""page_index"":0,""viewing_time"":12426.299999998882},{""page_index"":1,""viewing_time"":7191.10000000149}]","19618.299999998882","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","43487","0.0-2.0-1.0-1.0-0.0","580777dd827ca10001db494b","E1","batch5","","1590.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","47356","0.0-2.0-1.0-1.0-1.0","580777dd827ca10001db494b","E1","batch5","","3866","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","49203","0.0-2.0-1.0-1.0-2.0","580777dd827ca10001db494b","E1","batch5","","1842.5999999996275","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","52614","0.0-2.0-1.0-1.0-3.0","580777dd827ca10001db494b","E1","batch5","","3406.300000000745","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","53581","0.0-2.0-1.0-1.0-4.0","580777dd827ca10001db494b","E1","batch5","","963.4000000003725","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","55504","0.0-2.0-1.0-2.0-0.0","580777dd827ca10001db494b","E1","batch5","","1917.800000000745","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","60873","0.0-2.0-1.1-0.1","580777dd827ca10001db494b","E1","batch5","[{""page_index"":0,""viewing_time"":3955.699999999255},{""page_index"":1,""viewing_time"":1409.5}]","5365.799999998882","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","63601","0.0-2.0-1.1-1.1-0.1","580777dd827ca10001db494b","E1","batch5","","2724.199999999255","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","65338","0.0-2.0-1.1-1.1-1.1","580777dd827ca10001db494b","E1","batch5","","1733.6000000014901","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","66779","0.0-2.0-1.1-1.1-2.1","580777dd827ca10001db494b","E1","batch5","","1433.3999999985099","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","68281","0.0-2.0-1.1-1.1-3.1","580777dd827ca10001db494b","E1","batch5","","1500.4000000003725","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","69032","0.0-2.0-1.1-1.1-4.1","580777dd827ca10001db494b","E1","batch5","","749.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
