"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","5930","0.0-0.0","585849a944177c0001aacf8e","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","114009","0.0-1.0-0.0","585849a944177c0001aacf8e","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","116857","0.0-2.0-0.0","585849a944177c0001aacf8e","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","171302","0.0-2.0-1.0-0.0-0.0","585849a944177c0001aacf8e","D2","batch4","[{""page_index"":0,""viewing_time"":10538.799999952316},{""page_index"":1,""viewing_time"":4455.700000047684},{""page_index"":2,""viewing_time"":3464.5},{""page_index"":3,""viewing_time"":11215.699999928474},{""page_index"":4,""viewing_time"":11279.800000071526},{""page_index"":5,""viewing_time"":10112.199999928474},{""page_index"":6,""viewing_time"":3375.8000000715256}]","54442.89999997616","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","172311","0.0-2.0-1.0-1.0-0.0","585849a944177c0001aacf8e","D2","batch4","","1006.7000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","179110","0.0-2.0-1.0-1.0-1.0","585849a944177c0001aacf8e","D2","batch4","","6797.399999976158","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","181934","0.0-2.0-1.0-1.0-2.0","585849a944177c0001aacf8e","D2","batch4","","2821.399999976158","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","184910","0.0-2.0-1.0-1.0-3.0","585849a944177c0001aacf8e","D2","batch4","","2974.399999976158","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","185862","0.0-2.0-1.0-1.0-4.0","585849a944177c0001aacf8e","D2","batch4","","950.6000000238419","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","188038","0.0-2.0-1.0-2.0-0.0","585849a944177c0001aacf8e","D2","batch4","","2173.7000000476837","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","215510","0.0-2.0-1.1-0.1-0.1","585849a944177c0001aacf8e","D2","batch4","[{""page_index"":0,""viewing_time"":5839.100000023842},{""page_index"":1,""viewing_time"":3415.5999999046326},{""page_index"":2,""viewing_time"":2079.9000000953674},{""page_index"":3,""viewing_time"":8952.099999904633},{""page_index"":4,""viewing_time"":1415.6000000238419},{""page_index"":5,""viewing_time"":4112.899999976158},{""page_index"":6,""viewing_time"":1655.2000000476837}]","27470.799999952316","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","216422","0.0-2.0-1.1-1.1-0.1","585849a944177c0001aacf8e","D2","batch4","","910.7000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","219798","0.0-2.0-1.1-1.1-1.1","585849a944177c0001aacf8e","D2","batch4","","3374.600000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","221238","0.0-2.0-1.1-1.1-2.1","585849a944177c0001aacf8e","D2","batch4","","1438.2000000476837","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","224134","0.0-2.0-1.1-1.1-3.1","585849a944177c0001aacf8e","D2","batch4","","2894.399999976158","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","224878","0.0-2.0-1.1-1.1-4.1","585849a944177c0001aacf8e","D2","batch4","","743","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","226454","0.0-2.0-2.0","585849a944177c0001aacf8e","D2","batch4","","1574.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","229969","0.0-2.0-3.0-0.0","585849a944177c0001aacf8e","D2","batch4","","3513","tol_practice","","","","tol_peg_2","3513","3513","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3513","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","231279","0.0-2.0-3.0-1.0","585849a944177c0001aacf8e","D2","batch4","","1307","tol_practice","","","","tol_peg_3","1307","1307","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1307","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","232286","0.0-2.0-4.0","585849a944177c0001aacf8e","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","238710","0.0-2.0-5.0-0.0","585849a944177c0001aacf8e","D2","batch4","","6423","tol_practice","","","","tol_peg_1","6423","6423","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6423","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","242311","0.0-2.0-5.0-1.0","585849a944177c0001aacf8e","D2","batch4","","3599","tol_practice","","","","tol_peg_3","3599","3599","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","3599","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","243510","0.0-2.0-5.1-0.1","585849a944177c0001aacf8e","D2","batch4","","1199","tol_practice","","","","tol_peg_1","1199","1199","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1199","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","244521","0.0-2.0-5.1-1.1","585849a944177c0001aacf8e","D2","batch4","","1009","tol_practice","","","","tol_peg_2","1009","1009","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1009","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","245527","0.0-2.0-6.0","585849a944177c0001aacf8e","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","25","249726","0.0-2.0-7.0-0.0","585849a944177c0001aacf8e","D2","batch4","","4198","tol_practice","","","","tol_peg_2","4198","4198","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","4198","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","26","250671","0.0-2.0-7.0-1.0","585849a944177c0001aacf8e","D2","batch4","","943","tol_practice","","","","tol_peg_3","943","943","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","943","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","27","251606","0.0-2.0-7.1-0.1","585849a944177c0001aacf8e","D2","batch4","","935","tol_practice","","","","tol_peg_1","935","935","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","935","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","28","252543","0.0-2.0-7.1-1.1","585849a944177c0001aacf8e","D2","batch4","","935","tol_practice","","","","tol_peg_2","935","935","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","935","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","29","253546","0.0-2.0-8.0","585849a944177c0001aacf8e","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","30","257734","0.0-2.0-9.0","585849a944177c0001aacf8e","D2","batch4","","4187.100000023842","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","31","266670","0.0-2.0-10.0-0.0","585849a944177c0001aacf8e","D2","batch4","","7932","tol_tohand","","","","tol_peg_2","7932","7932","0","[[1,2,0],[0,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","32","269735","0.0-2.0-10.0-1.0","585849a944177c0001aacf8e","D2","batch4","","3063","tol_toboard","","","","tol_peg_3","3063","3063","0","[[1,2,0],[0,0],[3]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","33","270630","0.0-2.0-10.1-0.1","585849a944177c0001aacf8e","D2","batch4","","895","tol_tohand","","","","tol_peg_1","895","895","0","[[1,0,0],[0,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","34","272975","0.0-2.0-10.1-1.1","585849a944177c0001aacf8e","D2","batch4","","2343","tol_toboard","","","","tol_peg_2","2343","2343","0","[[1,0,0],[2,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
