"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2878","0.0-0.0","58d069219dbe3f0001258793","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14377","0.0-1.0-0.0","58d069219dbe3f0001258793","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17021","0.0-2.0-0.0","58d069219dbe3f0001258793","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","125559","0.0-2.0-1.0-0.0-0.0","58d069219dbe3f0001258793","D2","batch4","[{""page_index"":0,""viewing_time"":74312.90000000596},{""page_index"":1,""viewing_time"":4615.0999999940395},{""page_index"":2,""viewing_time"":3416},{""page_index"":3,""viewing_time"":8200.700000017881},{""page_index"":4,""viewing_time"":7703.899999976158},{""page_index"":5,""viewing_time"":4119.700000017881},{""page_index"":6,""viewing_time"":6168.299999982119}]","108536.90000000596","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","126863","0.0-2.0-1.0-1.0-0.0","58d069219dbe3f0001258793","D2","batch4","","1303.4000000059605","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","137286","0.0-2.0-1.0-1.0-1.0","58d069219dbe3f0001258793","D2","batch4","","10422.300000011921","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","138967","0.0-2.0-1.0-1.0-2.0","58d069219dbe3f0001258793","D2","batch4","","1678.9000000059605","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","142678","0.0-2.0-1.0-1.0-3.0","58d069219dbe3f0001258793","D2","batch4","","3711.4000000059605","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","143806","0.0-2.0-1.0-1.0-4.0","58d069219dbe3f0001258793","D2","batch4","","1127.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","145959","0.0-2.0-2.0","58d069219dbe3f0001258793","D2","batch4","","2151.0999999940395","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","148047","0.0-2.0-3.0-0.0","58d069219dbe3f0001258793","D2","batch4","","2087","tol_practice","","","","tol_peg_2","2087","2087","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2087","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","149382","0.0-2.0-3.0-1.0","58d069219dbe3f0001258793","D2","batch4","","1335","tol_practice","","","","tol_peg_3","1335","1335","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1335","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","150385","0.0-2.0-4.0","58d069219dbe3f0001258793","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","153920","0.0-2.0-5.0-0.0","58d069219dbe3f0001258793","D2","batch4","","3535","tol_practice","","","","tol_peg_1","3535","3535","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3535","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","154806","0.0-2.0-5.0-1.0","58d069219dbe3f0001258793","D2","batch4","","886","tol_practice","","","","tol_peg_3","886","886","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","886","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","155559","0.0-2.0-5.1-0.1","58d069219dbe3f0001258793","D2","batch4","","752","tol_practice","","","","tol_peg_1","752","752","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","752","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","156326","0.0-2.0-5.1-1.1","58d069219dbe3f0001258793","D2","batch4","","767","tol_practice","","","","tol_peg_2","767","767","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","767","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","157328","0.0-2.0-6.0","58d069219dbe3f0001258793","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","162774","0.0-2.0-7.0-0.0","58d069219dbe3f0001258793","D2","batch4","","5446","tol_practice","","","","tol_peg_2","5446","5446","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","5446","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","163454","0.0-2.0-7.0-1.0","58d069219dbe3f0001258793","D2","batch4","","680","tol_practice","","","","tol_peg_1","680","680","0","[[1,2,3],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","680","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","164438","0.0-2.0-7.1-0.1","58d069219dbe3f0001258793","D2","batch4","","984","tol_practice","","","","tol_peg_1","984","984","0","[[1,2,0],[0,0],[0]]","5","[[1,0,0],[2,0],[3]]","practice","984","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","165518","0.0-2.0-7.1-1.1","58d069219dbe3f0001258793","D2","batch4","","1079","tol_practice","","","","tol_peg_3","1079","1079","0","[[1,2,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1079","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","166311","0.0-2.0-7.2-0.2","58d069219dbe3f0001258793","D2","batch4","","792","tol_practice","","","","tol_peg_1","792","792","0","[[1,0,0],[0,0],[3]]","6","[[1,0,0],[2,0],[3]]","practice","792","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","166798","0.0-2.0-7.2-1.2","58d069219dbe3f0001258793","D2","batch4","","486","tol_practice","","","","tol_peg_2","486","486","0","[[1,0,0],[2,0],[3]]","6","[[1,0,0],[2,0],[3]]","practice","486","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","167798","0.0-2.0-8.0","58d069219dbe3f0001258793","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
