"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","6622","0.0-0.0","59107216127b0b00011fabea","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","414865","0.0-1.0-0.0","59107216127b0b00011fabea","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","418981","0.0-2.0-0.0","59107216127b0b00011fabea","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","421837","0.0-2.0-1.0-0.0","59107216127b0b00011fabea","A3","batch1","[{""page_index"":0,""viewing_time"":1889.7000000001863},{""page_index"":1,""viewing_time"":965.5999999996275}]","2855.600000000093","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","422904","0.0-2.0-1.0-1.0-0.0","59107216127b0b00011fabea","A3","batch1","","1065.3000000002794","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","425847","0.0-2.0-1.0-1.0-1.0","59107216127b0b00011fabea","A3","batch1","","2942.6999999997206","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","427059","0.0-2.0-1.0-1.0-2.0","59107216127b0b00011fabea","A3","batch1","","1211.1000000000931","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","430915","0.0-2.0-1.0-1.0-3.0","59107216127b0b00011fabea","A3","batch1","","3855.399999999907","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","431508","0.0-2.0-1.0-1.0-4.0","59107216127b0b00011fabea","A3","batch1","","592.6000000000931","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","432259","0.0-2.0-2.0","59107216127b0b00011fabea","A3","batch1","","749.1999999997206","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
