"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1506","0.0-0.0","59298c0b0b19ce0001202f22","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16146","0.0-1.0-0.0","59298c0b0b19ce0001202f22","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","19275","0.0-2.0-0.0","59298c0b0b19ce0001202f22","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","53730","0.0-2.0-1.0-0.0","59298c0b0b19ce0001202f22","B2","batch2","[{""page_index"":0,""viewing_time"":2125.5999999940395},{""page_index"":1,""viewing_time"":4401.9000000059605},{""page_index"":0,""viewing_time"":15766.09999999404},{""page_index"":1,""viewing_time"":8064.70000000298},{""page_index"":0,""viewing_time"":2678.2999999970198},{""page_index"":1,""viewing_time"":1416.7999999970198}]","34453.69999998808","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","55257","0.0-2.0-1.0-1.0-0.0","59298c0b0b19ce0001202f22","B2","batch2","","1525.9000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","59407","0.0-2.0-1.0-1.0-1.0","59298c0b0b19ce0001202f22","B2","batch2","","4148","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","61020","0.0-2.0-1.0-1.0-2.0","59298c0b0b19ce0001202f22","B2","batch2","","1611.7999999970198","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","65921","0.0-2.0-1.0-1.0-3.0","59298c0b0b19ce0001202f22","B2","batch2","","4899.9000000059605","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","67442","0.0-2.0-1.0-1.0-4.0","59298c0b0b19ce0001202f22","B2","batch2","","1520.7000000029802","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","70053","0.0-2.0-2.0","59298c0b0b19ce0001202f22","B2","batch2","","2608.7999999970198","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","72860","0.0-2.0-3.0-0.0","59298c0b0b19ce0001202f22","B2","batch2","","2802","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","73874","0.0-2.0-3.0-1.0","59298c0b0b19ce0001202f22","B2","batch2","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","75021","0.0-2.0-3.0-0.1","59298c0b0b19ce0001202f22","B2","batch2","","1143.5","stim/prac_yes_16_ver_w1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","76053","0.0-2.0-3.0-1.1","59298c0b0b19ce0001202f22","B2","batch2","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","80009","0.0-2.0-3.0-0.2","59298c0b0b19ce0001202f22","B2","batch2","","3953.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","81026","0.0-2.0-3.0-1.2","59298c0b0b19ce0001202f22","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","82116","0.0-2.0-3.0-0.3","59298c0b0b19ce0001202f22","B2","batch2","","1085.7999999970198","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","83138","0.0-2.0-3.0-1.3","59298c0b0b19ce0001202f22","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
