"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3044","0.0-0.0","5993020a5f49420001caf86b","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13347","0.0-1.0-0.0","5993020a5f49420001caf86b","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16243","0.0-2.0-0.0","5993020a5f49420001caf86b","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","19521","0.0-2.0-1.0-0.0","5993020a5f49420001caf86b","B2","batch2","[{""page_index"":0,""viewing_time"":1843.1000003814697},{""page_index"":1,""viewing_time"":1434}]","3277.3999996185303","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","20748","0.0-2.0-1.0-1.0-0.0","5993020a5f49420001caf86b","B2","batch2","","1226.1999998092651","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","26104","0.0-2.0-1.0-1.0-1.0","5993020a5f49420001caf86b","B2","batch2","","5355.199999809265","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","28656","0.0-2.0-1.0-1.0-2.0","5993020a5f49420001caf86b","B2","batch2","","2550.3999996185303","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","32838","0.0-2.0-1.0-1.0-3.0","5993020a5f49420001caf86b","B2","batch2","","4181.199999809265","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","33787","0.0-2.0-1.0-1.0-4.0","5993020a5f49420001caf86b","B2","batch2","","948.8000001907349","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","37771","0.0-2.0-1.0-2.0-0.0","5993020a5f49420001caf86b","B2","batch2","","3983","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","43788","0.0-2.0-1.1-0.1","5993020a5f49420001caf86b","B2","batch2","[{""page_index"":0,""viewing_time"":2049.7000007629395},{""page_index"":1,""viewing_time"":3966.699999809265}]","6016.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","45049","0.0-2.0-1.1-1.1-0.1","5993020a5f49420001caf86b","B2","batch2","","1260","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","47037","0.0-2.0-1.1-1.1-1.1","5993020a5f49420001caf86b","B2","batch2","","1988.2000007629395","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","48804","0.0-2.0-1.1-1.1-2.1","5993020a5f49420001caf86b","B2","batch2","","1766.2000007629395","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","50021","0.0-2.0-1.1-1.1-3.1","5993020a5f49420001caf86b","B2","batch2","","1216.3000001907349","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","50988","0.0-2.0-1.1-1.1-4.1","5993020a5f49420001caf86b","B2","batch2","","965.8000001907349","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","53288","0.0-2.0-2.0","5993020a5f49420001caf86b","B2","batch2","","2299.300000190735","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","17","64838","0.0-2.0-3.0-0.0","5993020a5f49420001caf86b","B2","batch2","","11547.800000190735","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","65847","0.0-2.0-3.0-1.0","5993020a5f49420001caf86b","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","19","67789","0.0-2.0-3.0-0.1","5993020a5f49420001caf86b","B2","batch2","","1940.6000003814697","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","68802","0.0-2.0-3.0-1.1","5993020a5f49420001caf86b","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","21","72985","0.0-2.0-3.0-0.2","5993020a5f49420001caf86b","B2","batch2","","4182.39999961853","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","73998","0.0-2.0-3.0-1.2","5993020a5f49420001caf86b","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","23","75423","0.0-2.0-3.0-0.3","5993020a5f49420001caf86b","B2","batch2","","1423.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","76430","0.0-2.0-3.0-1.3","5993020a5f49420001caf86b","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","25","77964","0.0-2.0-3.0-0.4","5993020a5f49420001caf86b","B2","batch2","","1533","stim/prac_no_16_1.png","f","pattern_practice","false","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","78973","0.0-2.0-3.0-1.4","5993020a5f49420001caf86b","B2","batch2","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","27","81388","0.0-2.0-4.0","5993020a5f49420001caf86b","B2","batch2","","2413.300000190735","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","82190","0.0-2.0-5.0-0.0","5993020a5f49420001caf86b","B2","batch2","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","29","86611","0.0-2.0-5.0-1.0","5993020a5f49420001caf86b","B2","batch2","","4420","stim/yes_36_ver_w1_w.png","f","pattern_response","true","f","pattern_58","4420","true","1","","","","","","","","","","","","","","","","","","",""
