"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1584","0.0-0.0","599323cdf9db7d00018955da","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21670","0.0-1.0-0.0","599323cdf9db7d00018955da","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26621","0.0-2.0-0.0","599323cdf9db7d00018955da","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","59298","0.0-2.0-1.0-0.0","599323cdf9db7d00018955da","A3","batch1","[{""page_index"":0,""viewing_time"":24364.70000000298},{""page_index"":1,""viewing_time"":8310}]","32675.10000000149","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","61060","0.0-2.0-1.0-1.0-0.0","599323cdf9db7d00018955da","A3","batch1","","1760.7999999970198","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","69666","0.0-2.0-1.0-1.0-1.0","599323cdf9db7d00018955da","A3","batch1","","8604.20000000298","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","71724","0.0-2.0-1.0-1.0-2.0","599323cdf9db7d00018955da","A3","batch1","","2055.8000000044703","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","77340","0.0-2.0-1.0-1.0-3.0","599323cdf9db7d00018955da","A3","batch1","","5614.39999999851","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","78420","0.0-2.0-1.0-1.0-4.0","599323cdf9db7d00018955da","A3","batch1","","1078.3000000044703","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","80764","0.0-2.0-2.0","599323cdf9db7d00018955da","A3","batch1","","2341.6999999955297","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","88221","0.0-2.0-3.0-0.0","599323cdf9db7d00018955da","A3","batch1","","7454.5999999940395","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","89231","0.0-2.0-3.0-1.0","599323cdf9db7d00018955da","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","91386","0.0-2.0-3.0-0.1","599323cdf9db7d00018955da","A3","batch1","","2153.10000000149","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","92390","0.0-2.0-3.0-1.1","599323cdf9db7d00018955da","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","94170","0.0-2.0-3.0-0.2","599323cdf9db7d00018955da","A3","batch1","","1777.3999999985099","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","95191","0.0-2.0-3.0-1.2","599323cdf9db7d00018955da","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","98595","0.0-2.0-3.0-0.3","599323cdf9db7d00018955da","A3","batch1","","3402.60000000149","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","99612","0.0-2.0-3.0-1.3","599323cdf9db7d00018955da","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","100642","0.0-2.0-3.0-0.4","599323cdf9db7d00018955da","A3","batch1","","1027.8000000044703","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","101660","0.0-2.0-3.0-1.4","599323cdf9db7d00018955da","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","122136","0.0-2.0-4.0","599323cdf9db7d00018955da","A3","batch1","","20474.29999999702","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","122945","0.0-2.0-5.0-0.0","599323cdf9db7d00018955da","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","125018","0.0-2.0-5.0-1.0","599323cdf9db7d00018955da","A3","batch1","","2070.39999999851","stim/yes_63_dia_b1.png","f","pattern_response","true","f","pattern_78","2070.39999999851","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","126328","0.0-2.0-5.0-0.1","599323cdf9db7d00018955da","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","128746","0.0-2.0-5.0-1.1","599323cdf9db7d00018955da","A3","batch1","","2416.7000000029802","stim/no_33_1_b.png","j","pattern_response","true","j","pattern_15","2416.7000000029802","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","130068","0.0-2.0-5.0-0.2","599323cdf9db7d00018955da","A3","batch1","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","133427","0.0-2.0-5.0-1.2","599323cdf9db7d00018955da","A3","batch1","","3357","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","3357","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","134740","0.0-2.0-5.0-0.3","599323cdf9db7d00018955da","A3","batch1","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","138634","0.0-2.0-5.0-1.3","599323cdf9db7d00018955da","A3","batch1","","3891.7000000029802","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","3891.7000000029802","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","139963","0.0-2.0-5.0-0.4","599323cdf9db7d00018955da","A3","batch1","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","144403","0.0-2.0-5.0-1.4","599323cdf9db7d00018955da","A3","batch1","","4437","stim/no_45_1_w.png","j","pattern_response","true","j","pattern_25","4437","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","145734","0.0-2.0-5.0-0.5","599323cdf9db7d00018955da","A3","batch1","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","149274","0.0-2.0-5.0-1.5","599323cdf9db7d00018955da","A3","batch1","","3536.60000000149","stim/yes_49_hor_w1_b.png","j","pattern_response","false","f","pattern_70","3536.60000000149","false","5","","","","","","","","","","","","","","","","","","",""
