"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","24575","0.0-0.0","59f6a6ec07e3780001ccd4d0","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","58728","0.0-1.0-0.0","59f6a6ec07e3780001ccd4d0","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","62322","0.0-2.0-0.0","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","80217","0.0-2.0-1.0","59f6a6ec07e3780001ccd4d0","D2","batch4","","17892.69999998808","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","81019","0.0-2.0-2.0-0.0","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","91471","0.0-2.0-2.0-1.0","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","10445.699999988079","img/question_1_1.jpeg","3","mat_01","4","1","1","10445.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","92535","0.0-2.0-2.0-0.1","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","98812","0.0-2.0-2.0-1.1","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","6275.100000023842","img/question_1_2.jpeg","4","mat_02","5","1","1","6275.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","99871","0.0-2.0-2.0-0.2","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","102823","0.0-2.0-2.0-1.2","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","2949","img/question_1_3.jpeg","0","mat_03","1","1","1","2949","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","103885","0.0-2.0-2.0-0.3","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","106586","0.0-2.0-2.0-1.3","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","2697.699999988079","img/question_1_4.jpeg","1","mat_04","2","1","1","2697.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","107652","0.0-2.0-2.0-0.4","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","114740","0.0-2.0-2.0-1.4","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","7085","img/question_1_5.jpeg","5","mat_05","6","1","1","7085","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","115792","0.0-2.0-2.0-0.5","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","120070","0.0-2.0-2.0-1.5","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","4274.5","img/question_1_6.jpeg","2","mat_06","3","1","1","4274.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","121132","0.0-2.0-2.0-0.6","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","137294","0.0-2.0-2.0-1.6","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","16161.300000011921","img/question_1_7.jpeg","5","mat_07","6","1","1","16161.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","138348","0.0-2.0-2.0-0.7","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","152262","0.0-2.0-2.0-1.7","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","13910.799999982119","img/question_1_8.jpeg","1","mat_08","2","1","1","13910.799999982119","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","153314","0.0-2.0-2.0-0.8","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","157008","0.0-2.0-2.0-1.8","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","3691.699999988079","img/question_1_9.jpeg","0","mat_09","1","1","1","3691.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","158065","0.0-2.0-2.0-0.9","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","166808","0.0-2.0-2.0-1.9","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","8740.5","img/question_1_10.jpeg","2","mat_10","3","1","1","8740.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","167861","0.0-2.0-2.0-0.10","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","180819","0.0-2.0-2.0-1.10","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","12957.09999999404","img/question_1_11.jpeg","4","mat_11","4","0","0","12957.09999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","181879","0.0-2.0-2.0-0.11","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","207910","0.0-2.0-2.0-1.11","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","26029.09999999404","img/question_1_12.jpeg","1","mat_12","5","0","0","26029.09999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","208969","0.0-2.0-2.0-0.12","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","212925","0.0-2.0-2.0-1.12","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","3952.199999988079","img/question_2_1.jpeg","1","mat_13","2","1","1","3952.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","213995","0.0-2.0-2.0-0.13","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","219478","0.0-2.0-2.0-1.13","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","5480.5","img/question_2_2.jpeg","5","mat_14","6","1","1","5480.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","220543","0.0-2.0-2.0-0.14","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","225362","0.0-2.0-2.0-1.14","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","4816.800000011921","img/question_2_3.jpeg","0","mat_15","1","1","1","4816.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","226424","0.0-2.0-2.0-0.15","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","232900","0.0-2.0-2.0-1.15","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","6473.4000000059605","img/question_2_4.jpeg","2","mat_16","2","0","0","6473.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","233952","0.0-2.0-2.0-0.16","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","239358","0.0-2.0-2.0-1.16","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","5403.0999999940395","img/question_2_5.jpeg","0","mat_17","1","1","1","5403.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","240421","0.0-2.0-2.0-0.17","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","256486","0.0-2.0-2.0-1.17","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_respsonse","16062.59999999404","img/question_2_6.jpeg","2","mat_18","3","1","1","16062.59999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","257541","0.0-2.0-2.0-0.18","59f6a6ec07e3780001ccd4d0","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
