"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1212","0.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8317","0.0-1.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10558","0.0-2.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","59751","0.0-2.0-1.0-0.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","[{""page_index"":0,""viewing_time"":9211},{""page_index"":1,""viewing_time"":6534},{""page_index"":2,""viewing_time"":3078},{""page_index"":3,""viewing_time"":8287},{""page_index"":4,""viewing_time"":4664},{""page_index"":5,""viewing_time"":14489.799999952316},{""page_index"":6,""viewing_time"":2927.899999976158}]","49191.89999997616","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","60825","0.0-2.0-1.0-1.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","1073.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","66681","0.0-2.0-1.0-1.0-1.0","5a585be8e0cf3d00012657b8","E1","batch5","","5855.299999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","67792","0.0-2.0-1.0-1.0-2.0","5a585be8e0cf3d00012657b8","E1","batch5","","1111.1000000238419","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","70578","0.0-2.0-1.0-1.0-3.0","5a585be8e0cf3d00012657b8","E1","batch5","","2785.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","71344","0.0-2.0-1.0-1.0-4.0","5a585be8e0cf3d00012657b8","E1","batch5","","765.6000000238419","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","73056","0.0-2.0-2.0","5a585be8e0cf3d00012657b8","E1","batch5","","1711.0999999046326","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","74817","0.0-2.0-3.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","1760","tol_practice","","","","tol_peg_2","1760","1760","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1760","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","76245","0.0-2.0-3.0-1.0","5a585be8e0cf3d00012657b8","E1","batch5","","1428","tol_practice","","","","tol_peg_3","1428","1428","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1428","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","77247","0.0-2.0-4.0","5a585be8e0cf3d00012657b8","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","83402","0.0-2.0-5.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","6155","tol_practice","","","","tol_peg_1","6155","6155","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6155","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","85596","0.0-2.0-5.0-1.0","5a585be8e0cf3d00012657b8","E1","batch5","","2193","tol_practice","","","","tol_peg_3","2193","2193","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","2193","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","86369","0.0-2.0-5.1-0.1","5a585be8e0cf3d00012657b8","E1","batch5","","772","tol_practice","","","","tol_peg_1","772","772","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","772","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","87079","0.0-2.0-5.1-1.1","5a585be8e0cf3d00012657b8","E1","batch5","","709","tol_practice","","","","tol_peg_2","709","709","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","709","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","88081","0.0-2.0-6.0","5a585be8e0cf3d00012657b8","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","91570","0.0-2.0-7.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","3489","tol_practice","","","","tol_peg_2","3489","3489","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3489","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","92367","0.0-2.0-7.0-1.0","5a585be8e0cf3d00012657b8","E1","batch5","","796","tol_practice","","","","tol_peg_3","796","796","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","796","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","93069","0.0-2.0-7.1-0.1","5a585be8e0cf3d00012657b8","E1","batch5","","701","tol_practice","","","","tol_peg_1","701","701","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","701","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","93819","0.0-2.0-7.1-1.1","5a585be8e0cf3d00012657b8","E1","batch5","","750","tol_practice","","","","tol_peg_2","750","750","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","750","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","94820","0.0-2.0-8.0","5a585be8e0cf3d00012657b8","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","97639","0.0-2.0-9.0","5a585be8e0cf3d00012657b8","E1","batch5","","2819","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","103802","0.0-2.0-10.0-0.0","5a585be8e0cf3d00012657b8","E1","batch5","","5162","tol_tohand","","","","tol_peg_1","5162","5162","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","105104","0.0-2.0-10.0-1.0","5a585be8e0cf3d00012657b8","E1","batch5","","1301","tol_toboard","","","","tol_peg_3","1301","1301","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","105743","0.0-2.0-10.1-0.1","5a585be8e0cf3d00012657b8","E1","batch5","","638","tol_tohand","","","","tol_peg_2","638","638","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","106682","0.0-2.0-10.1-1.1","5a585be8e0cf3d00012657b8","E1","batch5","","939","tol_toboard","","","","tol_peg_1","939","939","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","107432","0.0-2.0-10.2-0.2","5a585be8e0cf3d00012657b8","E1","batch5","","750","tol_tohand","","","","tol_peg_3","750","750","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
