"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2193","0.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","15015","0.0-1.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17713","0.0-2.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","88396","0.0-2.0-1.0-0.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","[{""page_index"":0,""viewing_time"":15086.899999976158},{""page_index"":1,""viewing_time"":10008.200000047684},{""page_index"":2,""viewing_time"":4119.600000023842},{""page_index"":3,""viewing_time"":11733.799999952316},{""page_index"":4,""viewing_time"":9120.200000047684},{""page_index"":5,""viewing_time"":13421.899999976158},{""page_index"":6,""viewing_time"":7190.200000047684}]","70681.20000004768","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","89698","0.0-2.0-1.0-1.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1300.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","98660","0.0-2.0-1.0-1.0-1.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","8960.299999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","100874","0.0-2.0-1.0-1.0-2.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","2212.2999999523163","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","104050","0.0-2.0-1.0-1.0-3.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","3175.4000000953674","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","104852","0.0-2.0-1.0-1.0-4.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","800.1000000238419","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","107769","0.0-2.0-2.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","2916.0999999046326","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","110165","0.0-2.0-3.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","2394","tol_practice","","","","tol_peg_2","2394","2394","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2394","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","113326","0.0-2.0-3.0-1.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","3159","tol_practice","","","","tol_peg_3","3159","3159","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","3159","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","114330","0.0-2.0-4.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","118631","0.0-2.0-5.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","4300","tol_practice","","","","tol_peg_1","4300","4300","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4300","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","120154","0.0-2.0-5.0-1.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1521","tol_practice","","","","tol_peg_3","1521","1521","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1521","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","121504","0.0-2.0-5.1-0.1","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1348","tol_practice","","","","tol_peg_1","1348","1348","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1348","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","122798","0.0-2.0-5.1-1.1","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1293","tol_practice","","","","tol_peg_2","1293","1293","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1293","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","123806","0.0-2.0-6.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","127397","0.0-2.0-7.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","3591","tol_practice","","","","tol_peg_2","3591","3591","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3591","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","128904","0.0-2.0-7.0-1.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1506","tol_practice","","","","tol_peg_3","1506","1506","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1506","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","129985","0.0-2.0-7.1-0.1","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1081","tol_practice","","","","tol_peg_1","1081","1081","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1081","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","131016","0.0-2.0-7.1-1.1","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1029","tol_practice","","","","tol_peg_2","1029","1029","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1029","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","132033","0.0-2.0-8.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","156259","0.0-2.0-9.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","24224.099999904633","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","161596","0.0-2.0-10.0-0.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","4322","tol_tohand","","","","tol_peg_1","4322","4322","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","162696","0.0-2.0-10.0-1.0","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1099","tol_toboard","","","","tol_peg_3","1099","1099","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","163737","0.0-2.0-10.1-0.1","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1041","tol_tohand","","","","tol_peg_2","1041","1041","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","165120","0.0-2.0-10.1-1.1","5a6b7f02e6cc4a0001b6a591","D2","batch4","","1381","tol_toboard","","","","tol_peg_1","1381","1381","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","167763","0.0-2.0-10.2-0.2","5a6b7f02e6cc4a0001b6a591","D2","batch4","","2643","tol_tohand","","","","tol_peg_3","2643","2643","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
