"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","6116","0.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17156","0.0-1.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20707","0.0-2.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","47814","0.0-2.0-1.0-0.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","[{""page_index"":0,""viewing_time"":6839.6999999999825},{""page_index"":1,""viewing_time"":3250.7000000000116},{""page_index"":2,""viewing_time"":1894.999999999971},{""page_index"":3,""viewing_time"":3720.3000000000466},{""page_index"":4,""viewing_time"":2021.399999999965},{""page_index"":5,""viewing_time"":7524.5},{""page_index"":6,""viewing_time"":1851.9000000000233}]","27104.29999999999","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","48934","0.0-2.0-1.0-1.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","","1116","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","53316","0.0-2.0-1.0-1.0-1.0","5a6ff39ef660ae0001a9837e","E1","batch5","","4376.700000000012","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","54403","0.0-2.0-1.0-1.0-2.0","5a6ff39ef660ae0001a9837e","E1","batch5","","1082.2000000000116","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","56824","0.0-2.0-1.0-1.0-3.0","5a6ff39ef660ae0001a9837e","E1","batch5","","2415.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","57648","0.0-2.0-1.0-1.0-4.0","5a6ff39ef660ae0001a9837e","E1","batch5","","819.7000000000116","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","59084","0.0-2.0-2.0","5a6ff39ef660ae0001a9837e","E1","batch5","","1431.7000000000116","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","61963","0.0-2.0-3.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","","2872","tol_practice","","","","tol_peg_2","2872","2872","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2872","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","63083","0.0-2.0-3.0-1.0","5a6ff39ef660ae0001a9837e","E1","batch5","","1114","tol_practice","","","","tol_peg_3","1114","1114","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1114","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","64093","0.0-2.0-4.0","5a6ff39ef660ae0001a9837e","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","67201","0.0-2.0-5.0-0.0","5a6ff39ef660ae0001a9837e","E1","batch5","","3104","tol_practice","","","","tol_peg_1","3104","3104","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3104","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","68053","0.0-2.0-5.0-1.0","5a6ff39ef660ae0001a9837e","E1","batch5","","850","tol_practice","","","","tol_peg_3","850","850","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","850","","","","","","","","","","","","","","",""
