"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","930","0.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14172","0.0-1.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16592","0.0-2.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","142116","0.0-2.0-1.0-0.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","[{""page_index"":0,""viewing_time"":13431.799999952316},{""page_index"":1,""viewing_time"":28197.799999952316},{""page_index"":2,""viewing_time"":2598.7999999523163},{""page_index"":3,""viewing_time"":6121.200000047684},{""page_index"":4,""viewing_time"":4546.400000095367},{""page_index"":5,""viewing_time"":67602.29999995232},{""page_index"":6,""viewing_time"":3022.5999999046326}]","125521.69999980927","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","142911","0.0-2.0-1.0-1.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","786.0999999046326","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","144898","0.0-2.0-1.0-1.0-1.0","5a78f57a2a842c0001fc43db","A3","batch1","","1985.3999998569489","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","145778","0.0-2.0-1.0-1.0-2.0","5a78f57a2a842c0001fc43db","A3","batch1","","877.2000000476837","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","148804","0.0-2.0-1.0-1.0-3.0","5a78f57a2a842c0001fc43db","A3","batch1","","3022.399999856949","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","149421","0.0-2.0-1.0-1.0-4.0","5a78f57a2a842c0001fc43db","A3","batch1","","615.3999998569489","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","150456","0.0-2.0-2.0","5a78f57a2a842c0001fc43db","A3","batch1","","1032.2999999523163","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","152621","0.0-2.0-3.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","2161","tol_practice","","","","tol_peg_2","2161","2161","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2161","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","153569","0.0-2.0-3.0-1.0","5a78f57a2a842c0001fc43db","A3","batch1","","947","tol_practice","","","","tol_peg_3","947","947","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","947","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","154583","0.0-2.0-4.0","5a78f57a2a842c0001fc43db","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","157968","0.0-2.0-5.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","3384","tol_practice","","","","tol_peg_1","3384","3384","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3384","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","159385","0.0-2.0-5.0-1.0","5a78f57a2a842c0001fc43db","A3","batch1","","1416","tol_practice","","","","tol_peg_3","1416","1416","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1416","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","160228","0.0-2.0-5.1-0.1","5a78f57a2a842c0001fc43db","A3","batch1","","841","tol_practice","","","","tol_peg_1","841","841","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","841","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","160842","0.0-2.0-5.1-1.1","5a78f57a2a842c0001fc43db","A3","batch1","","613","tol_practice","","","","tol_peg_2","613","613","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","613","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","161845","0.0-2.0-6.0","5a78f57a2a842c0001fc43db","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","165410","0.0-2.0-7.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","3564","tol_practice","","","","tol_peg_2","3564","3564","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3564","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","166051","0.0-2.0-7.0-1.0","5a78f57a2a842c0001fc43db","A3","batch1","","640","tol_practice","","","","tol_peg_3","640","640","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","640","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","166681","0.0-2.0-7.1-0.1","5a78f57a2a842c0001fc43db","A3","batch1","","629","tol_practice","","","","tol_peg_1","629","629","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","629","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","167180","0.0-2.0-7.1-1.1","5a78f57a2a842c0001fc43db","A3","batch1","","499","tol_practice","","","","tol_peg_2","499","499","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","499","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","168182","0.0-2.0-8.0","5a78f57a2a842c0001fc43db","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","170524","0.0-2.0-9.0","5a78f57a2a842c0001fc43db","A3","batch1","","2340.7999999523163","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","184561","0.0-2.0-10.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","13032","tol_tohand","","","","tol_peg_2","13032","13032","0","[[1,2,0],[0,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","185028","0.0-2.0-10.0-1.0","5a78f57a2a842c0001fc43db","A3","batch1","","466","tol_toboard","","","","tol_peg_3","466","466","0","[[1,2,0],[0,0],[3]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","185722","0.0-2.0-10.1-0.1","5a78f57a2a842c0001fc43db","A3","batch1","","693","tol_tohand","","","","tol_peg_1","693","693","0","[[1,0,0],[0,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","186182","0.0-2.0-10.1-1.1","5a78f57a2a842c0001fc43db","A3","batch1","","459","tol_toboard","","","","tol_peg_2","459","459","0","[[1,0,0],[2,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","186634","0.0-2.0-10.2-0.2","5a78f57a2a842c0001fc43db","A3","batch1","","451","tol_tohand","","","","tol_peg_3","451","451","0","[[1,0,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","187297","0.0-2.0-10.2-1.2","5a78f57a2a842c0001fc43db","A3","batch1","","661","tol_toboard","","","","tol_peg_1","661","661","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","188299","0.0-2.0-11.0","5a78f57a2a842c0001fc43db","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","13032","14176","","","","","","","","","",""
"","","","","","html-button-response","31","189042","0.0-2.0-12.0","5a78f57a2a842c0001fc43db","A3","batch1","","741.5","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","210683","0.0-2.0-13.0-0.0","5a78f57a2a842c0001fc43db","A3","batch1","","21641","tol_tohand","","","","tol_peg_1","21641","21641","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","212234","0.0-2.0-13.0-1.0","5a78f57a2a842c0001fc43db","A3","batch1","","1550","tol_toboard","","","","tol_peg_2","1550","1550","0","[[1,0,0],[3,2],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","212679","0.0-2.0-13.1-0.1","5a78f57a2a842c0001fc43db","A3","batch1","","443","tol_tohand","","","","tol_peg_1","443","443","0","[[0,0,0],[3,2],[0]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","213217","0.0-2.0-13.1-1.1","5a78f57a2a842c0001fc43db","A3","batch1","","538","tol_toboard","","","","tol_peg_3","538","538","0","[[0,0,0],[3,2],[1]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","213795","0.0-2.0-13.2-0.2","5a78f57a2a842c0001fc43db","A3","batch1","","577","tol_tohand","","","","tol_peg_2","577","577","0","[[0,0,0],[3,0],[1]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","214215","0.0-2.0-13.2-1.2","5a78f57a2a842c0001fc43db","A3","batch1","","419","tol_toboard","","","","tol_peg_1","419","419","0","[[2,0,0],[3,0],[1]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","214691","0.0-2.0-13.3-0.3","5a78f57a2a842c0001fc43db","A3","batch1","","475","tol_tohand","","","","tol_peg_3","475","475","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
