"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","939","0.0-0.0","5a92e1eeb5e2110001c670f0","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10672","0.0-1.0-0.0","5a92e1eeb5e2110001c670f0","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15447","0.0-2.0-0.0","5a92e1eeb5e2110001c670f0","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","31797","0.0-2.0-1.0-0.0","5a92e1eeb5e2110001c670f0","A3","batch1","[{""page_index"":0,""viewing_time"":7720.799999952316},{""page_index"":1,""viewing_time"":8625.599999904633}]","16346.899999856949","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","33006","0.0-2.0-1.0-1.0-0.0","5a92e1eeb5e2110001c670f0","A3","batch1","","1206.2000000476837","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","34748","0.0-2.0-1.0-1.0-1.0","5a92e1eeb5e2110001c670f0","A3","batch1","","1739.7000000476837","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","35643","0.0-2.0-1.0-1.0-2.0","5a92e1eeb5e2110001c670f0","A3","batch1","","890.0999999046326","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","38738","0.0-2.0-1.0-1.0-3.0","5a92e1eeb5e2110001c670f0","A3","batch1","","3092.2000000476837","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","39550","0.0-2.0-1.0-1.0-4.0","5a92e1eeb5e2110001c670f0","A3","batch1","","808.3999998569489","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","40791","0.0-2.0-2.0","5a92e1eeb5e2110001c670f0","A3","batch1","","1230.0999999046326","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","42097","0.0-2.0-3.0-0.0","5a92e1eeb5e2110001c670f0","A3","batch1","","1291","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","43101","0.0-2.0-3.0-1.0","5a92e1eeb5e2110001c670f0","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","45576","0.0-2.0-3.0-0.1","5a92e1eeb5e2110001c670f0","A3","batch1","","2471.399999856949","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","46581","0.0-2.0-3.0-1.1","5a92e1eeb5e2110001c670f0","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","48128","0.0-2.0-3.0-0.2","5a92e1eeb5e2110001c670f0","A3","batch1","","1543.4000000953674","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","49132","0.0-2.0-3.0-1.2","5a92e1eeb5e2110001c670f0","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","49989","0.0-2.0-3.0-0.3","5a92e1eeb5e2110001c670f0","A3","batch1","","853.2999999523163","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","50992","0.0-2.0-3.0-1.3","5a92e1eeb5e2110001c670f0","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","52425","0.0-2.0-3.0-0.4","5a92e1eeb5e2110001c670f0","A3","batch1","","1428.2000000476837","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","53429","0.0-2.0-3.0-1.4","5a92e1eeb5e2110001c670f0","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
