"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1381","0.0-0.0","5a98b39b89de8200013ef94f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9372","0.0-1.0-0.0","5a98b39b89de8200013ef94f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13970","0.0-2.0-0.0","5a98b39b89de8200013ef94f","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","24151","0.0-2.0-1.0","5a98b39b89de8200013ef94f","C3","batch3","","10179.600000023842","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","24955","0.0-2.0-2.0-0.0","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","30247","0.0-2.0-2.0-1.0","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","5287.100000023842","img/question_1_1.jpeg","3","mat_01","4","1","1","5287.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","31306","0.0-2.0-2.0-0.1","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","35095","0.0-2.0-2.0-1.1","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","3788.399999976158","img/question_1_2.jpeg","4","mat_02","5","1","1","3788.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","36154","0.0-2.0-2.0-0.2","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","38559","0.0-2.0-2.0-1.2","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","2403.800000011921","img/question_1_3.jpeg","0","mat_03","1","1","1","2403.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","39612","0.0-2.0-2.0-0.3","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","44415","0.0-2.0-2.0-1.3","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","4802.4000000059605","img/question_1_4.jpeg","1","mat_04","2","1","1","4802.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","45479","0.0-2.0-2.0-0.4","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","50607","0.0-2.0-2.0-1.4","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","5127.5","img/question_1_5.jpeg","5","mat_05","6","1","1","5127.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","51669","0.0-2.0-2.0-0.5","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","57184","0.0-2.0-2.0-1.5","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","5513.700000017881","img/question_1_6.jpeg","2","mat_06","3","1","1","5513.700000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","58244","0.0-2.0-2.0-0.6","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","62192","0.0-2.0-2.0-1.6","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","3947","img/question_1_7.jpeg","5","mat_07","6","1","1","3947","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","63252","0.0-2.0-2.0-0.7","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","68816","0.0-2.0-2.0-1.7","5a98b39b89de8200013ef94f","C3","batch3","spm_respsonse","5563.300000011921","img/question_1_8.jpeg","1","mat_08","2","1","1","5563.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","69872","0.0-2.0-2.0-0.8","5a98b39b89de8200013ef94f","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
