"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1463","0.0-0.0","5aa44687dbdb470001ef463f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","19415","0.0-1.0-0.0","5aa44687dbdb470001ef463f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","27135","0.0-2.0-0.0","5aa44687dbdb470001ef463f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","60186","0.0-2.0-1.0-0.0","5aa44687dbdb470001ef463f","E1","batch5","[{""page_index"":0,""viewing_time"":19206.19999998808},{""page_index"":1,""viewing_time"":13842.70000000298}]","33049.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","63066","0.0-2.0-1.0-1.0-0.0","5aa44687dbdb470001ef463f","E1","batch5","","2878.3999999910593","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","77009","0.0-2.0-1.0-1.0-1.0","5aa44687dbdb470001ef463f","E1","batch5","","13940.79999999702","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","81362","0.0-2.0-1.0-1.0-2.0","5aa44687dbdb470001ef463f","E1","batch5","","4347.20000000298","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","89842","0.0-2.0-1.0-1.0-3.0","5aa44687dbdb470001ef463f","E1","batch5","","8478.79999999702","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","91112","0.0-2.0-1.0-1.0-4.0","5aa44687dbdb470001ef463f","E1","batch5","","1268.2999999970198","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","96814","0.0-2.0-2.0","5aa44687dbdb470001ef463f","E1","batch5","","5698.699999988079","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
