"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2833","0.0-0.0","5ab7c19e1667e40001d7cd93","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16785","0.0-1.0-0.0","5ab7c19e1667e40001d7cd93","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20148","0.0-2.0-0.0","5ab7c19e1667e40001d7cd93","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","26213","0.0-2.0-1.0","5ab7c19e1667e40001d7cd93","A3","batch1","","6053.39999999851","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","27018","0.0-2.0-2.0-0.0","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","32656","0.0-2.0-2.0-1.0","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","5625.29999999702","img/question_1_1.jpeg","3","mat_01","4","1","1","5625.29999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","33730","0.0-2.0-2.0-0.1","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","36806","0.0-2.0-2.0-1.1","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","3072","img/question_1_2.jpeg","4","mat_02","5","1","1","3072","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","37867","0.0-2.0-2.0-0.2","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","42265","0.0-2.0-2.0-1.2","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","4393.79999999702","img/question_1_3.jpeg","0","mat_03","1","1","1","4393.79999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","43337","0.0-2.0-2.0-0.3","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","47308","0.0-2.0-2.0-1.3","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","3966.9000000059605","img/question_1_4.jpeg","1","mat_04","2","1","1","3966.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","48369","0.0-2.0-2.0-0.4","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","51765","0.0-2.0-2.0-1.4","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","3390.10000000149","img/question_1_5.jpeg","5","mat_05","6","1","1","3390.10000000149","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","52826","0.0-2.0-2.0-0.5","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","56446","0.0-2.0-2.0-1.5","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","3616","img/question_1_6.jpeg","2","mat_06","3","1","1","3616","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","57503","0.0-2.0-2.0-0.6","5ab7c19e1667e40001d7cd93","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","61106","0.0-2.0-2.0-1.6","5ab7c19e1667e40001d7cd93","A3","batch1","spm_respsonse","3598.60000000149","img/question_1_7.jpeg","5","mat_07","6","1","1","3598.60000000149","","","","","","","","","","","","","","","","","","","","",""
