"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","22923","0.0-0.0","5ab8026547a9f7000153a324","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","111003","0.0-1.0-0.0","5ab8026547a9f7000153a324","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","134234","0.0-2.0-0.0","5ab8026547a9f7000153a324","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","158899","0.0-2.0-1.0-0.0","5ab8026547a9f7000153a324","C3","batch3","[{""page_index"":0,""viewing_time"":15512.70000000298},{""page_index"":1,""viewing_time"":9149.5}]","24662.89999999851","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","161432","0.0-2.0-1.0-1.0-0.0","5ab8026547a9f7000153a324","C3","batch3","","2531.60000000149","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","164381","0.0-2.0-1.0-1.0-1.0","5ab8026547a9f7000153a324","C3","batch3","","2947.10000000149","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","174267","0.0-2.0-1.0-1.0-2.0","5ab8026547a9f7000153a324","C3","batch3","","9881.79999999702","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","179473","0.0-2.0-1.0-1.0-3.0","5ab8026547a9f7000153a324","C3","batch3","","5203.79999999702","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","181130","0.0-2.0-1.0-1.0-4.0","5ab8026547a9f7000153a324","C3","batch3","","1655.3999999985099","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","183179","0.0-2.0-2.0","5ab8026547a9f7000153a324","C3","batch3","","2045.2000000029802","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
