"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2565","0.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11298","0.0-1.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","19898","0.0-2.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","31452","0.0-2.0-1.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","[{""page_index"":0,""viewing_time"":7957},{""page_index"":1,""viewing_time"":3591}]","11550.10000000894","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","33524","0.0-2.0-1.0-1.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","2066.4000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","35596","0.0-2.0-1.0-1.0-1.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","2063.7999999970198","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","36929","0.0-2.0-1.0-1.0-2.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","1327.3999999910593","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","39667","0.0-2.0-1.0-1.0-3.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","2734.2000000029802","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","41522","0.0-2.0-1.0-1.0-4.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","1850.5999999940395","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","42976","0.0-2.0-2.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","1448.1000000089407","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","44706","0.0-2.0-3.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","1670.300000011921","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","45714","0.0-2.0-3.0-1.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","46787","0.0-2.0-3.0-0.1","5ac50a19a3ba7a0001b4a483","D2","batch4","","1068.199999988079","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","47794","0.0-2.0-3.0-1.1","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","48519","0.0-2.0-3.0-0.2","5ac50a19a3ba7a0001b4a483","D2","batch4","","720.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","49530","0.0-2.0-3.0-1.2","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","50562","0.0-2.0-3.0-0.3","5ac50a19a3ba7a0001b4a483","D2","batch4","","1025.0999999940395","stim/prac_no_16_1.png","f","pattern_practice","false","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","51570","0.0-2.0-3.0-1.3","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","52742","0.0-2.0-3.0-0.4","5ac50a19a3ba7a0001b4a483","D2","batch4","","1166.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","53754","0.0-2.0-3.0-1.4","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","56075","0.0-2.0-4.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","2315.5","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","56882","0.0-2.0-5.0-0.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","60779","0.0-2.0-5.0-1.0","5ac50a19a3ba7a0001b4a483","D2","batch4","","3892.6000000089407","stim/yes_42_dia_w1_w.png","f","pattern_response","true","f","pattern_64","3892.6000000089407","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","62090","0.0-2.0-5.0-0.1","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","62904","0.0-2.0-5.0-1.1","5ac50a19a3ba7a0001b4a483","D2","batch4","","809.4000000059605","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","809.4000000059605","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","64218","0.0-2.0-5.0-0.2","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","65501","0.0-2.0-5.0-1.2","5ac50a19a3ba7a0001b4a483","D2","batch4","","1278.0999999940395","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1278.0999999940395","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","66810","0.0-2.0-5.0-0.3","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","68941","0.0-2.0-5.0-1.3","5ac50a19a3ba7a0001b4a483","D2","batch4","","2125.7999999970198","stim/no_30_1_b.png","j","pattern_response","true","j","pattern_13","2125.7999999970198","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","70258","0.0-2.0-5.0-0.4","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","74829","0.0-2.0-5.0-1.4","5ac50a19a3ba7a0001b4a483","D2","batch4","","4565.20000000298","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","4565.20000000298","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","76146","0.0-2.0-5.0-0.5","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","77543","0.0-2.0-5.0-1.5","5ac50a19a3ba7a0001b4a483","D2","batch4","","1391.5","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","1391.5","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","78858","0.0-2.0-5.0-0.6","5ac50a19a3ba7a0001b4a483","D2","batch4","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
