"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","3124","0.0-0.0","5acb7b0ae1099600016acdd6","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16410","0.0-1.0-0.0","5acb7b0ae1099600016acdd6","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20250","0.0-2.0-0.0","5acb7b0ae1099600016acdd6","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","32773","0.0-2.0-1.0-0.0","5acb7b0ae1099600016acdd6","C3","batch3","[{""page_index"":0,""viewing_time"":7094.399999976158},{""page_index"":1,""viewing_time"":5419.100000023842}]","12515.799999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","34084","0.0-2.0-1.0-1.0-0.0","5acb7b0ae1099600016acdd6","C3","batch3","","1302.2999999523163","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","36448","0.0-2.0-1.0-1.0-1.0","5acb7b0ae1099600016acdd6","C3","batch3","","2357.6999999284744","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","37819","0.0-2.0-1.0-1.0-2.0","5acb7b0ae1099600016acdd6","C3","batch3","","1365.6000000238419","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","42737","0.0-2.0-1.0-1.0-3.0","5acb7b0ae1099600016acdd6","C3","batch3","","4912.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","43970","0.0-2.0-1.0-1.0-4.0","5acb7b0ae1099600016acdd6","C3","batch3","","1223.1999999284744","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","46304","0.0-2.0-2.0","5acb7b0ae1099600016acdd6","C3","batch3","","2326.8000000715256","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","50076","0.0-2.0-3.0-0.0","5acb7b0ae1099600016acdd6","C3","batch3","","3714.100000023842","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","51086","0.0-2.0-3.0-1.0","5acb7b0ae1099600016acdd6","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","53416","0.0-2.0-3.0-0.1","5acb7b0ae1099600016acdd6","C3","batch3","","2323.6999999284744","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","54427","0.0-2.0-3.0-1.1","5acb7b0ae1099600016acdd6","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","55831","0.0-2.0-3.0-0.2","5acb7b0ae1099600016acdd6","C3","batch3","","1394.8000000715256","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
