"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1593","0.0-0.0","5ad0f1934d061300011b0a4d","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","1018327","0.0-1.0-0.0","5ad0f1934d061300011b0a4d","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","1021301","0.0-2.0-0.0","5ad0f1934d061300011b0a4d","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","1032511","0.0-2.0-1.0","5ad0f1934d061300011b0a4d","C3","batch3","","11209.300000190735","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","1033328","0.0-2.0-2.0-0.0","5ad0f1934d061300011b0a4d","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","1039145","0.0-2.0-2.0-1.0","5ad0f1934d061300011b0a4d","C3","batch3","spm_respsonse","5813.299999237061","img/question_1_1.jpeg","3","mat_01","4","1","1","5813.299999237061","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","1040209","0.0-2.0-2.0-0.1","5ad0f1934d061300011b0a4d","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","1044552","0.0-2.0-2.0-1.1","5ad0f1934d061300011b0a4d","C3","batch3","spm_respsonse","4341.5","img/question_1_2.jpeg","4","mat_02","5","1","1","4341.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","1045626","0.0-2.0-2.0-0.2","5ad0f1934d061300011b0a4d","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","1052184","0.0-2.0-2.0-1.2","5ad0f1934d061300011b0a4d","C3","batch3","spm_respsonse","6555.599999427795","img/question_1_3.jpeg","0","mat_03","1","1","1","6555.599999427795","","","","","","","","","","","","","","","","","","","","",""
