"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","16141","0.0-0.0","5ade6f4709eae2000112e9e2","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","30014","0.0-1.0-0.0","5ade6f4709eae2000112e9e2","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32920","0.0-2.0-0.0","5ade6f4709eae2000112e9e2","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","37510","0.0-2.0-1.0-0.0","5ade6f4709eae2000112e9e2","B2","batch2","[{""page_index"":0,""viewing_time"":2109.699999999255},{""page_index"":1,""viewing_time"":2478.5}]","4588.5999999996275","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","38510","0.0-2.0-1.0-1.0-0.0","5ade6f4709eae2000112e9e2","B2","batch2","","998.9000000003725","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","44124","0.0-2.0-1.0-1.0-1.0","5ade6f4709eae2000112e9e2","B2","batch2","","5612.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","45795","0.0-2.0-1.0-1.0-2.0","5ade6f4709eae2000112e9e2","B2","batch2","","1669.9000000003725","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","51402","0.0-2.0-1.0-1.0-3.0","5ade6f4709eae2000112e9e2","B2","batch2","","5606.200000001118","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","1","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","55488","0.0-2.0-1.0-1.0-4.0","5ade6f4709eae2000112e9e2","B2","batch2","","4084.7000000011176","<p class = block-text>Incorrect. Remember, will look for 4 pieces connected in a row either in black or white color, and either in horizontal, vertical or diagonal direction.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","57759","0.0-2.0-1.0-2.0-0.0","5ade6f4709eae2000112e9e2","B2","batch2","","2269.0999999996275","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","70667","0.0-2.0-1.1-0.1","5ade6f4709eae2000112e9e2","B2","batch2","[{""page_index"":0,""viewing_time"":8836.199999999255},{""page_index"":1,""viewing_time"":4071}]","12907.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","71530","0.0-2.0-1.1-1.1-0.1","5ade6f4709eae2000112e9e2","B2","batch2","","861.7000000011176","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
