"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","14463","0.0-0.0","5b0481d17ac6e4000107e12a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","33442","0.0-1.0-0.0","5b0481d17ac6e4000107e12a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","37242","0.0-2.0-0.0","5b0481d17ac6e4000107e12a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","110042","0.0-2.0-1.0-0.0-0.0","5b0481d17ac6e4000107e12a","C3","batch3","[{""page_index"":0,""viewing_time"":12942.100000023842},{""page_index"":1,""viewing_time"":14728.099999964237},{""page_index"":2,""viewing_time"":3616.400000035763},{""page_index"":3,""viewing_time"":9886.5},{""page_index"":4,""viewing_time"":11587.399999976158},{""page_index"":5,""viewing_time"":15388.600000023842},{""page_index"":6,""viewing_time"":4650.199999988079}]","72799.60000002384","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","111622","0.0-2.0-1.0-1.0-0.0","5b0481d17ac6e4000107e12a","C3","batch3","","1579.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","129457","0.0-2.0-1.0-1.0-1.0","5b0481d17ac6e4000107e12a","C3","batch3","","17833.899999976158","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","131361","0.0-2.0-1.0-1.0-2.0","5b0481d17ac6e4000107e12a","C3","batch3","","1903.5","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","135090","0.0-2.0-1.0-1.0-3.0","5b0481d17ac6e4000107e12a","C3","batch3","","3728.599999964237","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","136083","0.0-2.0-1.0-1.0-4.0","5b0481d17ac6e4000107e12a","C3","batch3","","991.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","140036","0.0-2.0-2.0","5b0481d17ac6e4000107e12a","C3","batch3","","3951.400000035763","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
