"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","10976","0.0-0.0","5b184f9768a5ed0001734190","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","60171","0.0-1.0-0.0","5b184f9768a5ed0001734190","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","64930","0.0-2.0-0.0","5b184f9768a5ed0001734190","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","113099","0.0-2.0-1.0-0.0","5b184f9768a5ed0001734190","C3","batch3","[{""page_index"":0,""viewing_time"":19969.299999998882},{""page_index"":1,""viewing_time"":28198.700000001118}]","48168.29999999888","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","114192","0.0-2.0-1.0-1.0-0.0","5b184f9768a5ed0001734190","C3","batch3","","1092.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","116501","0.0-2.0-1.0-1.0-1.0","5b184f9768a5ed0001734190","C3","batch3","","2308.0999999996275","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","117441","0.0-2.0-1.0-1.0-2.0","5b184f9768a5ed0001734190","C3","batch3","","939.1999999992549","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","119663","0.0-2.0-1.0-1.0-3.0","5b184f9768a5ed0001734190","C3","batch3","","2220.2999999988824","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","120320","0.0-2.0-1.0-1.0-4.0","5b184f9768a5ed0001734190","C3","batch3","","656.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","122924","0.0-2.0-2.0","5b184f9768a5ed0001734190","C3","batch3","","2602.800000000745","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","124745","0.0-2.0-3.0-0.0","5b184f9768a5ed0001734190","C3","batch3","","1820.699999999255","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","125767","0.0-2.0-3.0-1.0","5b184f9768a5ed0001734190","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","126880","0.0-2.0-3.0-0.1","5b184f9768a5ed0001734190","C3","batch3","","1112.0999999996275","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","127907","0.0-2.0-3.0-1.1","5b184f9768a5ed0001734190","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","128705","0.0-2.0-3.0-0.2","5b184f9768a5ed0001734190","C3","batch3","","796.4000000003725","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","129730","0.0-2.0-3.0-1.2","5b184f9768a5ed0001734190","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","130497","0.0-2.0-3.0-0.3","5b184f9768a5ed0001734190","C3","batch3","","765.7999999988824","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","131521","0.0-2.0-3.0-1.3","5b184f9768a5ed0001734190","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","132369","0.0-2.0-3.0-0.4","5b184f9768a5ed0001734190","C3","batch3","","846.9000000003725","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","133394","0.0-2.0-3.0-1.4","5b184f9768a5ed0001734190","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","138304","0.0-2.0-4.0","5b184f9768a5ed0001734190","C3","batch3","","4909.5999999996275","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","139116","0.0-2.0-5.0-0.0","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","140904","0.0-2.0-5.0-1.0","5b184f9768a5ed0001734190","C3","batch3","","1786.5","stim/yes_44_ver_w1_w.png","f","pattern_response","true","f","pattern_66","1786.5","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","142233","0.0-2.0-5.0-0.1","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","143960","0.0-2.0-5.0-1.1","5b184f9768a5ed0001734190","C3","batch3","","1726","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","1726","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","145286","0.0-2.0-5.0-0.2","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","147608","0.0-2.0-5.0-1.2","5b184f9768a5ed0001734190","C3","batch3","","2321.300000000745","stim/no_25_1_b.png","j","pattern_response","true","j","pattern_09","2321.300000000745","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","148927","0.0-2.0-5.0-0.3","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","151184","0.0-2.0-5.0-1.3","5b184f9768a5ed0001734190","C3","batch3","","2255.9000000003725","stim/yes_42_dia_w1_w.png","f","pattern_response","true","f","pattern_64","2255.9000000003725","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","152509","0.0-2.0-5.0-0.4","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","153624","0.0-2.0-5.0-1.4","5b184f9768a5ed0001734190","C3","batch3","","1114","stim/no_45_1_w.png","f","pattern_response","false","j","pattern_25","1114","false","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","154955","0.0-2.0-5.0-0.5","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","156744","0.0-2.0-5.0-1.5","5b184f9768a5ed0001734190","C3","batch3","","1788.0999999996275","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","1788.0999999996275","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","158073","0.0-2.0-5.0-0.6","5b184f9768a5ed0001734190","C3","batch3","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
