"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3691","0.0-0.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18838","0.0-1.0-0.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21879","0.0-2.0-0.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","41203","0.0-2.0-1.0-0.0","5b2834ed7da9a90001a3c5e5","F1","batch6","[{""page_index"":0,""viewing_time"":10578.199999988079},{""page_index"":1,""viewing_time"":8744}]","19322.69999998808","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","42354","0.0-2.0-1.0-1.0-0.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","1148.800000011921","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","47172","0.0-2.0-1.0-1.0-1.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","4817.4000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","59378","0.0-2.0-1.0-1.0-2.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","12203.90000000596","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","62913","0.0-2.0-1.0-1.0-3.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","3533.4000000059605","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","63513","0.0-2.0-1.0-1.0-4.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","598.8000000119209","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","65412","0.0-2.0-2.0","5b2834ed7da9a90001a3c5e5","F1","batch6","","1897.199999988079","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
