"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","7490","0.0-0.0","5b6cd50f9ee1a50001c5f481","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23377","0.0-1.0-0.0","5b6cd50f9ee1a50001c5f481","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","27981","0.0-2.0-0.0","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","41326","0.0-2.0-1.0","5b6cd50f9ee1a50001c5f481","B2","batch2","","13344","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","42128","0.0-2.0-2.0-0.0","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","54222","0.0-2.0-2.0-1.0","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","12089","img/question_1_1.jpeg","3","mat_01","4","1","1","12089","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","55293","0.0-2.0-2.0-0.1","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","60606","0.0-2.0-2.0-1.1","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","5309","img/question_1_2.jpeg","4","mat_02","5","1","1","5309","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","61667","0.0-2.0-2.0-0.2","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","66711","0.0-2.0-2.0-1.2","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","5040","img/question_1_3.jpeg","0","mat_03","1","1","1","5040","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","67763","0.0-2.0-2.0-0.3","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","78566","0.0-2.0-2.0-1.3","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","10800","img/question_1_4.jpeg","1","mat_04","2","1","1","10800","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","79653","0.0-2.0-2.0-0.4","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","88038","0.0-2.0-2.0-1.4","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","8379","img/question_1_5.jpeg","5","mat_05","6","1","1","8379","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","89104","0.0-2.0-2.0-0.5","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","93246","0.0-2.0-2.0-1.5","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","4138","img/question_1_6.jpeg","2","mat_06","3","1","1","4138","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","94298","0.0-2.0-2.0-0.6","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","101422","0.0-2.0-2.0-1.6","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","7121","img/question_1_7.jpeg","5","mat_07","6","1","1","7121","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","102484","0.0-2.0-2.0-0.7","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","109086","0.0-2.0-2.0-1.7","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_respsonse","6600","img/question_1_8.jpeg","1","mat_08","2","1","1","6600","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","110155","0.0-2.0-2.0-0.8","5b6cd50f9ee1a50001c5f481","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
