"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","9365","0.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","131339","0.0-1.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","136269","0.0-2.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","210227","0.0-2.0-1.0-0.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","[{""page_index"":0,""viewing_time"":13357.799999982119},{""page_index"":1,""viewing_time"":13807.300000011921},{""page_index"":2,""viewing_time"":11173.59999999404},{""page_index"":3,""viewing_time"":10374.09999999404},{""page_index"":4,""viewing_time"":7001.300000011921},{""page_index"":5,""viewing_time"":13049.09999999404},{""page_index"":6,""viewing_time"":5194.5999999940395}]","73958.09999999404","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","211508","0.0-2.0-1.0-1.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","1279.300000011921","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","215762","0.0-2.0-1.0-1.0-1.0","5ba184ad35768a0001437bdc","A3","batch1","","4253.699999988079","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","219455","0.0-2.0-1.0-1.0-2.0","5ba184ad35768a0001437bdc","A3","batch1","","3690.9000000059605","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","223557","0.0-2.0-1.0-1.0-3.0","5ba184ad35768a0001437bdc","A3","batch1","","4101.300000011921","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","224413","0.0-2.0-1.0-1.0-4.0","5ba184ad35768a0001437bdc","A3","batch1","","855.3000000119209","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","226623","0.0-2.0-1.0-2.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","2209.100000023842","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","251334","0.0-2.0-1.1-0.1-0.1","5ba184ad35768a0001437bdc","A3","batch1","[{""page_index"":0,""viewing_time"":4243.4000000059605},{""page_index"":1,""viewing_time"":2599.0999999940395},{""page_index"":2,""viewing_time"":2051.800000011921},{""page_index"":3,""viewing_time"":5031},{""page_index"":4,""viewing_time"":2993.5},{""page_index"":5,""viewing_time"":6367.199999988079},{""page_index"":6,""viewing_time"":1423.800000011921}]","24710","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","252082","0.0-2.0-1.1-1.1-0.1","5ba184ad35768a0001437bdc","A3","batch1","","747.9000000059605","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","256156","0.0-2.0-1.1-1.1-1.1","5ba184ad35768a0001437bdc","A3","batch1","","4073.0999999940395","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","256993","0.0-2.0-1.1-1.1-2.1","5ba184ad35768a0001437bdc","A3","batch1","","835.8000000119209","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","260578","0.0-2.0-1.1-1.1-3.1","5ba184ad35768a0001437bdc","A3","batch1","","3585.0999999940395","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","261166","0.0-2.0-1.1-1.1-4.1","5ba184ad35768a0001437bdc","A3","batch1","","587.3999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","261919","0.0-2.0-2.0","5ba184ad35768a0001437bdc","A3","batch1","","751.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","265466","0.0-2.0-3.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","3546","tol_practice","","","","tol_peg_2","3546","3546","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3546","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","266849","0.0-2.0-3.0-1.0","5ba184ad35768a0001437bdc","A3","batch1","","1382","tol_practice","","","","tol_peg_3","1382","1382","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1382","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","267850","0.0-2.0-4.0","5ba184ad35768a0001437bdc","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","273032","0.0-2.0-5.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","5181","tol_practice","","","","tol_peg_1","5181","5181","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","5181","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","274380","0.0-2.0-5.0-1.0","5ba184ad35768a0001437bdc","A3","batch1","","1347","tol_practice","","","","tol_peg_3","1347","1347","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1347","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","275468","0.0-2.0-5.1-0.1","5ba184ad35768a0001437bdc","A3","batch1","","1088","tol_practice","","","","tol_peg_1","1088","1088","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1088","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","276353","0.0-2.0-5.1-1.1","5ba184ad35768a0001437bdc","A3","batch1","","884","tol_practice","","","","tol_peg_2","884","884","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","884","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","277367","0.0-2.0-6.0","5ba184ad35768a0001437bdc","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","25","281191","0.0-2.0-7.0-0.0","5ba184ad35768a0001437bdc","A3","batch1","","3823","tol_practice","","","","tol_peg_2","3823","3823","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3823","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","26","282125","0.0-2.0-7.0-1.0","5ba184ad35768a0001437bdc","A3","batch1","","934","tol_practice","","","","tol_peg_3","934","934","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","934","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","27","283505","0.0-2.0-7.1-0.1","5ba184ad35768a0001437bdc","A3","batch1","","1380","tol_practice","","","","tol_peg_1","1380","1380","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1380","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","28","284137","0.0-2.0-7.1-1.1","5ba184ad35768a0001437bdc","A3","batch1","","632","tol_practice","","","","tol_peg_2","632","632","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","632","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","29","285148","0.0-2.0-8.0","5ba184ad35768a0001437bdc","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","30","286585","0.0-2.0-9.0","5ba184ad35768a0001437bdc","A3","batch1","","1436.0999999940395","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
