"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","7287","0.0-0.0","5baff18baf6e8c000116be28","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21620","0.0-1.0-0.0","5baff18baf6e8c000116be28","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","25950","0.0-2.0-0.0","5baff18baf6e8c000116be28","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","43920","0.0-2.0-1.0","5baff18baf6e8c000116be28","E1","batch5","","17966.099999904633","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","44727","0.0-2.0-2.0-0.0","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","66705","0.0-2.0-2.0-1.0","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","21962.5","img/question_1_1.jpeg","3","mat_01","4","1","1","21962.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","67776","0.0-2.0-2.0-0.1","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","73265","0.0-2.0-2.0-1.1","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","5484.399999976158","img/question_1_2.jpeg","4","mat_02","5","1","1","5484.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","74345","0.0-2.0-2.0-0.2","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","77369","0.0-2.0-2.0-1.2","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","3019.3000000715256","img/question_1_3.jpeg","0","mat_03","1","1","1","3019.3000000715256","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","78429","0.0-2.0-2.0-0.3","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","82473","0.0-2.0-2.0-1.3","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","4039","img/question_1_4.jpeg","1","mat_04","2","1","1","4039","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","83545","0.0-2.0-2.0-0.4","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","88057","0.0-2.0-2.0-1.4","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","4507.5","img/question_1_5.jpeg","5","mat_05","6","1","1","4507.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","89125","0.0-2.0-2.0-0.5","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","93385","0.0-2.0-2.0-1.5","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","4255.100000023842","img/question_1_6.jpeg","2","mat_06","3","1","1","4255.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","94441","0.0-2.0-2.0-0.6","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","102344","0.0-2.0-2.0-1.6","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","7898.200000047684","img/question_1_7.jpeg","5","mat_07","6","1","1","7898.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","103422","0.0-2.0-2.0-0.7","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","113704","0.0-2.0-2.0-1.7","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","10277.699999928474","img/question_1_8.jpeg","1","mat_08","2","1","1","10277.699999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","114772","0.0-2.0-2.0-0.8","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","124681","0.0-2.0-2.0-1.8","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","9903.399999976158","img/question_1_9.jpeg","0","mat_09","1","1","1","9903.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","125752","0.0-2.0-2.0-0.9","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","138656","0.0-2.0-2.0-1.9","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","12900.199999928474","img/question_1_10.jpeg","2","mat_10","3","1","1","12900.199999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","139720","0.0-2.0-2.0-0.10","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","186336","0.0-2.0-2.0-1.10","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","46611.60000002384","img/question_1_11.jpeg","3","mat_11","4","1","1","46611.60000002384","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","187396","0.0-2.0-2.0-0.11","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","241192","0.0-2.0-2.0-1.11","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","53790.5","img/question_1_12.jpeg","4","mat_12","5","1","1","53790.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","242256","0.0-2.0-2.0-0.12","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","245504","0.0-2.0-2.0-1.12","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","3243.7999999523163","img/question_2_1.jpeg","1","mat_13","2","1","1","3243.7999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","246568","0.0-2.0-2.0-0.13","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","253280","0.0-2.0-2.0-1.13","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","6707.299999952316","img/question_2_2.jpeg","5","mat_14","6","1","1","6707.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","254348","0.0-2.0-2.0-0.14","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","259376","0.0-2.0-2.0-1.14","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","5022.600000023842","img/question_2_3.jpeg","0","mat_15","1","1","1","5022.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","260439","0.0-2.0-2.0-0.15","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","269832","0.0-2.0-2.0-1.15","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","9388.799999952316","img/question_2_4.jpeg","1","mat_16","2","1","1","9388.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","270900","0.0-2.0-2.0-0.16","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","284080","0.0-2.0-2.0-1.16","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","13174.700000047684","img/question_2_5.jpeg","0","mat_17","1","1","1","13174.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","285151","0.0-2.0-2.0-0.17","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","298624","0.0-2.0-2.0-1.17","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","13468.700000047684","img/question_2_6.jpeg","2","mat_18","3","1","1","13468.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","299684","0.0-2.0-2.0-0.18","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","315648","0.0-2.0-2.0-1.18","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","15959.100000023842","img/question_2_7.jpeg","4","mat_19","5","1","1","15959.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","316725","0.0-2.0-2.0-0.19","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","322944","0.0-2.0-2.0-1.19","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","6213.399999976158","img/question_2_8.jpeg","5","mat_20","6","1","1","6213.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","324002","0.0-2.0-2.0-0.20","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","328496","0.0-2.0-2.0-1.20","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","4489.700000047684","img/question_2_9.jpeg","3","mat_21","4","1","1","4489.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","329576","0.0-2.0-2.0-0.21","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","338816","0.0-2.0-2.0-1.21","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","9235.799999952316","img/question_2_10.jpeg","2","mat_22","3","1","1","9235.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","339878","0.0-2.0-2.0-0.22","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","349344","0.0-2.0-2.0-1.22","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","9462","img/question_2_11.jpeg","3","mat_23","4","1","1","9462","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","350427","0.0-2.0-2.0-0.23","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","359208","0.0-2.0-2.0-1.23","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","8777.100000023842","img/question_2_12.jpeg","4","mat_24","5","1","1","8777.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","362321","0.0-2.0-3.0","5baff18baf6e8c000116be28","E1","batch5","attention_check","2858.7000000476837","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","363122","0.0-2.0-4.0-0.0","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","368337","0.0-2.0-4.0-1.0","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","5209.5","img/question_3_1.jpeg","7","mat_25","8","1","1","5209.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","369415","0.0-2.0-4.0-0.1","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","378665","0.0-2.0-4.0-1.1","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","9245.399999976158","img/question_3_2.jpeg","1","mat_26","2","1","1","9245.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","379724","0.0-2.0-4.0-0.2","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","58","449616","0.0-2.0-4.0-1.2","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","69887.80000007153","img/question_3_3.jpeg","2","mat_27","3","1","1","69887.80000007153","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","450681","0.0-2.0-4.0-0.3","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 28 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","60","474080","0.0-2.0-4.0-1.3","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","23394.299999952316","img/question_3_4.jpeg","7","mat_28","8","1","1","23394.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","475150","0.0-2.0-4.0-0.4","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 29 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","62","486352","0.0-2.0-4.0-1.4","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","11198","img/question_3_5.jpeg","6","mat_29","7","1","1","11198","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","487419","0.0-2.0-4.0-0.5","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 30 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","64","495064","0.0-2.0-4.0-1.5","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","7640.600000023842","img/question_3_6.jpeg","3","mat_30","4","1","1","7640.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","496139","0.0-2.0-4.0-0.6","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 31 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","66","505040","0.0-2.0-4.0-1.6","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","8895.300000071526","img/question_3_7.jpeg","4","mat_31","5","1","1","8895.300000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","506115","0.0-2.0-4.0-0.7","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 32 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","68","531280","0.0-2.0-4.0-1.7","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","25160.899999976158","img/question_3_8.jpeg","0","mat_32","1","1","1","25160.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","532354","0.0-2.0-4.0-0.8","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 33 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","70","547888","0.0-2.0-4.0-1.8","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","15529.099999904633","img/question_3_9.jpeg","6","mat_33","7","1","1","15529.099999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","548966","0.0-2.0-4.0-0.9","5baff18baf6e8c000116be28","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 34 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","72","577376","0.0-2.0-4.0-1.9","5baff18baf6e8c000116be28","E1","batch5","spm_respsonse","28405.5","img/question_3_10.jpeg","5","mat_34","6","1","1","28405.5","","","","","","","","","","","","","","","","","","","","",""
