"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","9464","0.0-0.0","5bc3f805f70e2e000121f9b0","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","33366","0.0-1.0-0.0","5bc3f805f70e2e000121f9b0","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","39672","0.0-2.0-0.0","5bc3f805f70e2e000121f9b0","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","61980","0.0-2.0-1.0","5bc3f805f70e2e000121f9b0","E1","batch5","","22303.79999998212","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","62792","0.0-2.0-2.0-0.0","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","76164","0.0-2.0-2.0-1.0","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","13363.200000017881","img/question_1_1.jpeg","3","mat_01","4","1","1","13363.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","77246","0.0-2.0-2.0-0.1","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","83109","0.0-2.0-2.0-1.1","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","5859.100000023842","img/question_1_2.jpeg","4","mat_02","5","1","1","5859.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","84174","0.0-2.0-2.0-0.2","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","89715","0.0-2.0-2.0-1.2","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","5536.0999999940395","img/question_1_3.jpeg","0","mat_03","1","1","1","5536.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","90793","0.0-2.0-2.0-0.3","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","96960","0.0-2.0-2.0-1.3","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","6161.700000017881","img/question_1_4.jpeg","1","mat_04","2","1","1","6161.700000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","98030","0.0-2.0-2.0-0.4","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","104799","0.0-2.0-2.0-1.4","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","6763.299999982119","img/question_1_5.jpeg","5","mat_05","6","1","1","6763.299999982119","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","105862","0.0-2.0-2.0-0.5","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","116127","0.0-2.0-2.0-1.5","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","10260.09999999404","img/question_1_6.jpeg","2","mat_06","3","1","1","10260.09999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","117194","0.0-2.0-2.0-0.6","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","129418","0.0-2.0-2.0-1.6","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","12218.199999988079","img/question_1_7.jpeg","5","mat_07","6","1","1","12218.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","130488","0.0-2.0-2.0-0.7","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","136485","0.0-2.0-2.0-1.7","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","5992","img/question_1_8.jpeg","1","mat_08","2","1","1","5992","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","137553","0.0-2.0-2.0-0.8","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","145231","0.0-2.0-2.0-1.8","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","7672.200000017881","img/question_1_9.jpeg","0","mat_09","1","1","1","7672.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","146308","0.0-2.0-2.0-0.9","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","156998","0.0-2.0-2.0-1.9","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","10684.5","img/question_1_10.jpeg","2","mat_10","3","1","1","10684.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","158058","0.0-2.0-2.0-0.10","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","174422","0.0-2.0-2.0-1.10","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","16359.200000017881","img/question_1_11.jpeg","3","mat_11","4","1","1","16359.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","175483","0.0-2.0-2.0-0.11","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","200516","0.0-2.0-2.0-1.11","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","25027.5","img/question_1_12.jpeg","4","mat_12","5","1","1","25027.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","201577","0.0-2.0-2.0-0.12","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","209706","0.0-2.0-2.0-1.12","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","8124","img/question_2_1.jpeg","1","mat_13","2","1","1","8124","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","210781","0.0-2.0-2.0-0.13","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","219043","0.0-2.0-2.0-1.13","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","8256.5","img/question_2_2.jpeg","5","mat_14","6","1","1","8256.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","220114","0.0-2.0-2.0-0.14","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","226335","0.0-2.0-2.0-1.14","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","6215.800000011921","img/question_2_3.jpeg","0","mat_15","1","1","1","6215.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","227408","0.0-2.0-2.0-0.15","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","254028","0.0-2.0-2.0-1.15","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","26615.90000000596","img/question_2_4.jpeg","1","mat_16","2","1","1","26615.90000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","255105","0.0-2.0-2.0-0.16","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","261396","0.0-2.0-2.0-1.16","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","6286.9000000059605","img/question_2_5.jpeg","0","mat_17","1","1","1","6286.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","262466","0.0-2.0-2.0-0.17","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","272933","0.0-2.0-2.0-1.17","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","10461.90000000596","img/question_2_6.jpeg","2","mat_18","3","1","1","10461.90000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","273997","0.0-2.0-2.0-0.18","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","284871","0.0-2.0-2.0-1.18","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","10868.200000017881","img/question_2_7.jpeg","4","mat_19","5","1","1","10868.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","285937","0.0-2.0-2.0-0.19","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","298292","0.0-2.0-2.0-1.19","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","12350.09999999404","img/question_2_8.jpeg","5","mat_20","6","1","1","12350.09999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","299355","0.0-2.0-2.0-0.20","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","305169","0.0-2.0-2.0-1.20","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","5808","img/question_2_9.jpeg","3","mat_21","4","1","1","5808","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","306240","0.0-2.0-2.0-0.21","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","319721","0.0-2.0-2.0-1.21","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","13475.699999988079","img/question_2_10.jpeg","2","mat_22","3","1","1","13475.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","320788","0.0-2.0-2.0-0.22","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","326897","0.0-2.0-2.0-1.22","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","6103.9000000059605","img/question_2_11.jpeg","3","mat_23","4","1","1","6103.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","327968","0.0-2.0-2.0-0.23","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","386601","0.0-2.0-2.0-1.23","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","58628.40000000596","img/question_2_12.jpeg","5","mat_24","5","0","0","58628.40000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","391272","0.0-2.0-3.0","5bc3f805f70e2e000121f9b0","E1","batch5","attention_check","4403.5999999940395","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","392076","0.0-2.0-4.0-0.0","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","403351","0.0-2.0-4.0-1.0","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","11269.300000011921","img/question_3_1.jpeg","7","mat_25","8","1","1","11269.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","404415","0.0-2.0-4.0-0.1","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","414352","0.0-2.0-4.0-1.1","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","9931.40000000596","img/question_3_2.jpeg","1","mat_26","2","1","1","9931.40000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","415416","0.0-2.0-4.0-0.2","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","58","425668","0.0-2.0-4.0-1.2","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","10250.09999999404","img/question_3_3.jpeg","2","mat_27","3","1","1","10250.09999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","426740","0.0-2.0-4.0-0.3","5bc3f805f70e2e000121f9b0","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 28 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","60","440623","0.0-2.0-4.0-1.3","5bc3f805f70e2e000121f9b0","E1","batch5","spm_respsonse","13877.199999988079","img/question_3_4.jpeg","7","mat_28","8","1","1","13877.199999988079","","","","","","","","","","","","","","","","","","","","",""
