"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","4750","0.0-0.0","5bda12b600c1c4000155cb87","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","15353","0.0-1.0-0.0","5bda12b600c1c4000155cb87","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21099","0.0-2.0-0.0","5bda12b600c1c4000155cb87","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","65440","0.0-2.0-1.0-0.0-0.0","5bda12b600c1c4000155cb87","D2","batch4","[{""page_index"":0,""viewing_time"":9517.100000023842},{""page_index"":1,""viewing_time"":3098.399999976158},{""page_index"":2,""viewing_time"":2441.399999976158},{""page_index"":3,""viewing_time"":4872.200000047684},{""page_index"":4,""viewing_time"":4432.599999904633},{""page_index"":5,""viewing_time"":16781.400000095367},{""page_index"":6,""viewing_time"":3198.0999999046326}]","44341.39999997616","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","66517","0.0-2.0-1.0-1.0-0.0","5bda12b600c1c4000155cb87","D2","batch4","","1075.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","71231","0.0-2.0-1.0-1.0-1.0","5bda12b600c1c4000155cb87","D2","batch4","","4713.600000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","72505","0.0-2.0-1.0-1.0-2.0","5bda12b600c1c4000155cb87","D2","batch4","","1273.1999999284744","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","75682","0.0-2.0-1.0-1.0-3.0","5bda12b600c1c4000155cb87","D2","batch4","","3175.8000000715256","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","76358","0.0-2.0-1.0-1.0-4.0","5bda12b600c1c4000155cb87","D2","batch4","","675.4000000953674","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","78126","0.0-2.0-2.0","5bda12b600c1c4000155cb87","D2","batch4","","1767.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
