"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3114","0.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","37047","0.0-1.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","45165","0.0-2.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","110437","0.0-2.0-1.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","[{""page_index"":0,""viewing_time"":43796},{""page_index"":1,""viewing_time"":21473.90000000596}]","65270.30000001192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","113813","0.0-2.0-1.0-1.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","","3374.4000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","124798","0.0-2.0-1.0-1.0-1.0","5bdb5e785e77d9000147e94d","B2","batch2","","10984.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","128579","0.0-2.0-1.0-1.0-2.0","5bdb5e785e77d9000147e94d","B2","batch2","","3779","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","142799","0.0-2.0-1.0-1.0-3.0","5bdb5e785e77d9000147e94d","B2","batch2","","14219.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","144759","0.0-2.0-1.0-1.0-4.0","5bdb5e785e77d9000147e94d","B2","batch2","","1958.9000000059605","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","152977","0.0-2.0-2.0","5bdb5e785e77d9000147e94d","B2","batch2","","8216.800000011921","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","160385","0.0-2.0-3.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","","7404.0999999940395","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","161396","0.0-2.0-3.0-1.0","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","162719","0.0-2.0-3.0-0.1","5bdb5e785e77d9000147e94d","B2","batch2","","1321.9000000059605","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","163730","0.0-2.0-3.0-1.1","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","166108","0.0-2.0-3.0-0.2","5bdb5e785e77d9000147e94d","B2","batch2","","2376.199999988079","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","167130","0.0-2.0-3.0-1.2","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","169108","0.0-2.0-3.0-0.3","5bdb5e785e77d9000147e94d","B2","batch2","","1976","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","170115","0.0-2.0-3.0-1.3","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","171365","0.0-2.0-3.0-0.4","5bdb5e785e77d9000147e94d","B2","batch2","","1248.9000000059605","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","172382","0.0-2.0-3.0-1.4","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","181967","0.0-2.0-4.0","5bdb5e785e77d9000147e94d","B2","batch2","","9583.5","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","182780","0.0-2.0-5.0-0.0","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","184327","0.0-2.0-5.0-1.0","5bdb5e785e77d9000147e94d","B2","batch2","","1545.0999999940395","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1545.0999999940395","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","185646","0.0-2.0-5.0-0.1","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","187242","0.0-2.0-5.0-1.1","5bdb5e785e77d9000147e94d","B2","batch2","","1595.0999999940395","stim/yes_33_dia_w1_w.png","f","pattern_response","true","f","pattern_56","1595.0999999940395","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","188565","0.0-2.0-5.0-0.2","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","192477","0.0-2.0-5.0-1.2","5bdb5e785e77d9000147e94d","B2","batch2","","3910.0999999940395","stim/yes_58_dia_w1_w.png","j","pattern_response","false","f","pattern_76","3910.0999999940395","false","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","193798","0.0-2.0-5.0-0.3","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","198617","0.0-2.0-5.0-1.3","5bdb5e785e77d9000147e94d","B2","batch2","","4826","stim/no_39_1_w.png","j","pattern_response","true","j","pattern_21","4826","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","199941","0.0-2.0-5.0-0.4","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","203598","0.0-2.0-5.0-1.4","5bdb5e785e77d9000147e94d","B2","batch2","","3655","stim/no_18_1_b.png","j","pattern_response","true","j","pattern_05","3655","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","204925","0.0-2.0-5.0-0.5","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","209877","0.0-2.0-5.0-1.5","5bdb5e785e77d9000147e94d","B2","batch2","","4949.700000017881","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","4949.700000017881","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","211196","0.0-2.0-5.0-0.6","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","213330","0.0-2.0-5.0-1.6","5bdb5e785e77d9000147e94d","B2","batch2","","2132.100000023842","stim/yes_51_dia_b1.png","f","pattern_response","true","f","pattern_72","2132.100000023842","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","214644","0.0-2.0-5.0-0.7","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","216574","0.0-2.0-5.0-1.7","5bdb5e785e77d9000147e94d","B2","batch2","","1928.2000000178814","stim/no_15_1_w.png","j","pattern_response","true","j","pattern_03","1928.2000000178814","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","217895","0.0-2.0-5.0-0.8","5bdb5e785e77d9000147e94d","B2","batch2","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
