"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1951","0.0-0.0","5be1030c2b1e7d000178d718","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5383","0.0-1.0-0.0","5be1030c2b1e7d000178d718","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8047","0.0-2.0-0.0","5be1030c2b1e7d000178d718","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","17157","0.0-2.0-1.0-0.0","5be1030c2b1e7d000178d718","F1","batch6","[{""page_index"":0,""viewing_time"":7708.5},{""page_index"":1,""viewing_time"":1399.7999999970198}]","9108.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","17973","0.0-2.0-1.0-1.0-0.0","5be1030c2b1e7d000178d718","F1","batch6","","814.8000000044703","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","20853","0.0-2.0-1.0-1.0-1.0","5be1030c2b1e7d000178d718","F1","batch6","","2879.4000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","21037","0.0-2.0-1.0-1.0-2.0","5be1030c2b1e7d000178d718","F1","batch6","","182.70000000298023","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","23637","0.0-2.0-1.0-1.0-3.0","5be1030c2b1e7d000178d718","F1","batch6","","2599.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","24261","0.0-2.0-1.0-1.0-4.0","5be1030c2b1e7d000178d718","F1","batch6","","623.1999999955297","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","25189","0.0-2.0-1.0-2.0-0.0","5be1030c2b1e7d000178d718","F1","batch6","","926.8000000044703","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","33901","0.0-2.0-1.1-0.1","5be1030c2b1e7d000178d718","F1","batch6","[{""page_index"":0,""viewing_time"":5415},{""page_index"":1,""viewing_time"":3295.8000000044703}]","8711.10000000149","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","34645","0.0-2.0-1.1-1.1-0.1","5be1030c2b1e7d000178d718","F1","batch6","","743.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","36269","0.0-2.0-1.1-1.1-1.1","5be1030c2b1e7d000178d718","F1","batch6","","1623.1999999955297","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","38573","0.0-2.0-1.1-1.1-2.1","5be1030c2b1e7d000178d718","F1","batch6","","2302.7000000029802","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","41709","0.0-2.0-1.1-1.1-3.1","5be1030c2b1e7d000178d718","F1","batch6","","3135.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","42205","0.0-2.0-1.1-1.1-4.1","5be1030c2b1e7d000178d718","F1","batch6","","495.20000000298023","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
