"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","3102","0.0-0.0","5c10724111fe9a00013cd815","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25974","0.0-1.0-0.0","5c10724111fe9a00013cd815","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","30713","0.0-2.0-0.0","5c10724111fe9a00013cd815","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","222900","0.0-2.0-1.0-0.0-0.0","5c10724111fe9a00013cd815","C3","batch3","[{""page_index"":0,""viewing_time"":32431.69999999553},{""page_index"":1,""viewing_time"":47559.39999999851},{""page_index"":2,""viewing_time"":10727.90000000596},{""page_index"":3,""viewing_time"":14472.19999999553},{""page_index"":4,""viewing_time"":16471.89999999851},{""page_index"":5,""viewing_time"":35928.30000000447},{""page_index"":6,""viewing_time"":34591.69999999553}]","192184.29999999702","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","224748","0.0-2.0-1.0-1.0-0.0","5c10724111fe9a00013cd815","C3","batch3","","1845.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","233123","0.0-2.0-1.0-1.0-1.0","5c10724111fe9a00013cd815","C3","batch3","","8372.70000000298","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","234588","0.0-2.0-1.0-1.0-2.0","5c10724111fe9a00013cd815","C3","batch3","","1460.6999999955297","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","239163","0.0-2.0-1.0-1.0-3.0","5c10724111fe9a00013cd815","C3","batch3","","4573.20000000298","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","240475","0.0-2.0-1.0-1.0-4.0","5c10724111fe9a00013cd815","C3","batch3","","1309.8999999985099","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","293467","0.0-2.0-2.0","5c10724111fe9a00013cd815","C3","batch3","","52987.10000000149","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","302461","0.0-2.0-3.0-0.0","5c10724111fe9a00013cd815","C3","batch3","","8991","tol_practice","","","","tol_peg_2","8991","8991","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","8991","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","303140","0.0-2.0-3.0-1.0","5c10724111fe9a00013cd815","C3","batch3","","678","tol_practice","","","","tol_peg_2","678","678","0","[[1,2,0],[3,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","678","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","12","306051","0.0-2.0-3.1-0.1","5c10724111fe9a00013cd815","C3","batch3","","2909","tol_practice","","","","tol_peg_2","2909","2909","0","[[1,2,0],[0,0],[0]]","2","[[1,2,0],[0,0],[3]]","practice","2909","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","13","307523","0.0-2.0-3.1-1.1","5c10724111fe9a00013cd815","C3","batch3","","1470","tol_practice","","","","tol_peg_3","1470","1470","0","[[1,2,0],[0,0],[3]]","2","[[1,2,0],[0,0],[3]]","practice","1470","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","14","308534","0.0-2.0-4.0","5c10724111fe9a00013cd815","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","15","314539","0.0-2.0-5.0-0.0","5c10724111fe9a00013cd815","C3","batch3","","6003","tol_practice","","","","tol_peg_1","6003","6003","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","6003","","","","","","","","","","","","","","",""
