"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","15248","0.0-0.0","5c1813d5d2790700010a718f","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","479919","0.0-1.0-0.0","5c1813d5d2790700010a718f","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","483528","0.0-2.0-0.0","5c1813d5d2790700010a718f","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","504192","0.0-2.0-1.0-0.0","5c1813d5d2790700010a718f","F1","batch6","[{""page_index"":0,""viewing_time"":11990.39999999851},{""page_index"":1,""viewing_time"":8671.800000000745}]","20662.599999997765","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","506001","0.0-2.0-1.0-1.0-0.0","5c1813d5d2790700010a718f","F1","batch6","","1807.300000000745","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","510996","0.0-2.0-1.0-1.0-1.0","5c1813d5d2790700010a718f","F1","batch6","","4994.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","512904","0.0-2.0-1.0-1.0-2.0","5c1813d5d2790700010a718f","F1","batch6","","1906.800000000745","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","536915","0.0-2.0-1.0-1.0-3.0","5c1813d5d2790700010a718f","F1","batch6","","24010.10000000149","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","538181","0.0-2.0-1.0-1.0-4.0","5c1813d5d2790700010a718f","F1","batch6","","1265","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","540307","0.0-2.0-1.0-2.0-0.0","5c1813d5d2790700010a718f","F1","batch6","","2124.199999999255","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
