"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","22000","0.0-0.0","5c1a4d7d1aea120001fdd685","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","32886","0.0-1.0-0.0","5c1a4d7d1aea120001fdd685","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","36866","0.0-2.0-0.0","5c1a4d7d1aea120001fdd685","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","104430","0.0-2.0-1.0-0.0-0.0","5c1a4d7d1aea120001fdd685","C3","batch3","[{""page_index"":0,""viewing_time"":8430.900000095367},{""page_index"":1,""viewing_time"":7269.5},{""page_index"":2,""viewing_time"":7209.5},{""page_index"":3,""viewing_time"":13108.899999856949},{""page_index"":4,""viewing_time"":11901.299999952316},{""page_index"":5,""viewing_time"":15447.700000047684},{""page_index"":6,""viewing_time"":4193.799999952316}]","67563.20000004768","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","107534","0.0-2.0-1.0-1.0-0.0","5c1a4d7d1aea120001fdd685","C3","batch3","","3100.899999856949","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","113171","0.0-2.0-1.0-1.0-1.0","5c1a4d7d1aea120001fdd685","C3","batch3","","5633.600000143051","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","115019","0.0-2.0-1.0-1.0-2.0","5c1a4d7d1aea120001fdd685","C3","batch3","","1841.5","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","118000","0.0-2.0-1.0-1.0-3.0","5c1a4d7d1aea120001fdd685","C3","batch3","","2978.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","119224","0.0-2.0-1.0-1.0-4.0","5c1a4d7d1aea120001fdd685","C3","batch3","","1221.6999998092651","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","122139","0.0-2.0-2.0","5c1a4d7d1aea120001fdd685","C3","batch3","","2909.0999999046326","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
