"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","18056","0.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26886","0.0-1.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32255","0.0-2.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","78836","0.0-2.0-1.0-0.0-0.0","5c2a9b55867f660001af0515","F1","batch6","[{""page_index"":0,""viewing_time"":5591.600000023842},{""page_index"":1,""viewing_time"":2481.7999999523163},{""page_index"":2,""viewing_time"":8428.200000047684},{""page_index"":3,""viewing_time"":11737.799999952316},{""page_index"":4,""viewing_time"":12270.200000047684},{""page_index"":5,""viewing_time"":2871.899999976158},{""page_index"":6,""viewing_time"":3197.899999976158}]","46579.60000002384","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","79702","0.0-2.0-1.0-1.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","864.6999999880791","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","81782","0.0-2.0-1.0-1.0-1.0","5c2a9b55867f660001af0515","F1","batch6","","2078.300000011921","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","82910","0.0-2.0-1.0-1.0-2.0","5c2a9b55867f660001af0515","F1","batch6","","1126.800000011921","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","85036","0.0-2.0-1.0-1.0-3.0","5c2a9b55867f660001af0515","F1","batch6","","2125.399999976158","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","85746","0.0-2.0-1.0-1.0-4.0","5c2a9b55867f660001af0515","F1","batch6","","708.5999999642372","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","86930","0.0-2.0-2.0","5c2a9b55867f660001af0515","F1","batch6","","1182.800000011921","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","89009","0.0-2.0-3.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","2077","tol_practice","","","","tol_peg_1","2077","2077","0","[[1,0,0],[3,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2077","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","92658","0.0-2.0-3.0-1.0","5c2a9b55867f660001af0515","F1","batch6","","3648","tol_practice","","","","tol_peg_1","3648","3648","0","[[1,2,0],[3,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3648","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","12","95333","0.0-2.0-3.1-0.1","5c2a9b55867f660001af0515","F1","batch6","","2673","tol_practice","","","","tol_peg_2","2673","2673","0","[[1,2,0],[0,0],[0]]","2","[[1,2,0],[0,0],[3]]","practice","2673","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","13","96328","0.0-2.0-3.1-1.1","5c2a9b55867f660001af0515","F1","batch6","","995","tol_practice","","","","tol_peg_3","995","995","0","[[1,2,0],[0,0],[3]]","2","[[1,2,0],[0,0],[3]]","practice","995","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","14","97330","0.0-2.0-4.0","5c2a9b55867f660001af0515","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","15","100843","0.0-2.0-5.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","3512","tol_practice","","","","tol_peg_1","3512","3512","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","3512","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","102612","0.0-2.0-5.0-1.0","5c2a9b55867f660001af0515","F1","batch6","","1769","tol_practice","","","","tol_peg_3","1769","1769","0","[[1,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1769","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","103498","0.0-2.0-5.1-0.1","5c2a9b55867f660001af0515","F1","batch6","","885","tol_practice","","","","tol_peg_1","885","885","0","[[0,0,0],[3,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","885","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","104404","0.0-2.0-5.1-1.1","5c2a9b55867f660001af0515","F1","batch6","","905","tol_practice","","","","tol_peg_2","905","905","0","[[0,0,0],[3,1],[2]]","4","[[0,0,0],[3,1],[2]]","practice","905","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","105406","0.0-2.0-6.0","5c2a9b55867f660001af0515","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","109668","0.0-2.0-7.0-0.0","5c2a9b55867f660001af0515","F1","batch6","","4262","tol_practice","","","","tol_peg_2","4262","4262","0","[[1,2,0],[0,0],[0]]","5","[[1,0,0],[2,0],[3]]","practice","4262","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","110526","0.0-2.0-7.0-1.0","5c2a9b55867f660001af0515","F1","batch6","","857","tol_practice","","","","tol_peg_3","857","857","0","[[1,2,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","857","","","","","","","","","","","","","","",""
