"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","911","0.0-0.0","5c2cb3b41f8ea700015c44f0","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3869","0.0-1.0-0.0","5c2cb3b41f8ea700015c44f0","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6684","0.0-2.0-0.0","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","10721","0.0-2.0-1.0","5c2cb3b41f8ea700015c44f0","C3","batch3","","4035","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","11524","0.0-2.0-2.0-0.0","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","15880","0.0-2.0-2.0-1.0","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_respsonse","4352","img/question_1_1.jpeg","1","mat_01","4","0","0","4352","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","16935","0.0-2.0-2.0-0.1","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","19808","0.0-2.0-2.0-1.1","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_respsonse","2871","img/question_1_2.jpeg","4","mat_02","5","1","1","2871","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","20867","0.0-2.0-2.0-0.2","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","23564","0.0-2.0-2.0-1.2","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_respsonse","2696","img/question_1_3.jpeg","0","mat_03","1","1","1","2696","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","24624","0.0-2.0-2.0-0.3","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","31025","0.0-2.0-2.0-1.3","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_respsonse","6400","img/question_1_4.jpeg","1","mat_04","2","1","1","6400","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","32089","0.0-2.0-2.0-0.4","5c2cb3b41f8ea700015c44f0","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
