"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4093","0.0-0.0","5c31847f10677f0001ddc781","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","129494","0.0-1.0-0.0","5c31847f10677f0001ddc781","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","131968","0.0-2.0-0.0","5c31847f10677f0001ddc781","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","162984","0.0-2.0-1.0-0.0","5c31847f10677f0001ddc781","A3","batch1","[{""page_index"":0,""viewing_time"":14524},{""page_index"":1,""viewing_time"":16488}]","31013","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","167097","0.0-2.0-1.0-1.0-0.0","5c31847f10677f0001ddc781","A3","batch1","","4110","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","171251","0.0-2.0-1.0-1.0-1.0","5c31847f10677f0001ddc781","A3","batch1","","4151","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","172256","0.0-2.0-1.0-1.0-2.0","5c31847f10677f0001ddc781","A3","batch1","","1002","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","175062","0.0-2.0-1.0-1.0-3.0","5c31847f10677f0001ddc781","A3","batch1","","2802","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","175758","0.0-2.0-1.0-1.0-4.0","5c31847f10677f0001ddc781","A3","batch1","","693","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","176928","0.0-2.0-2.0","5c31847f10677f0001ddc781","A3","batch1","","1166","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","179830","0.0-2.0-3.0-0.0","5c31847f10677f0001ddc781","A3","batch1","","2794","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","180861","0.0-2.0-3.0-1.0","5c31847f10677f0001ddc781","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","183951","0.0-2.0-3.0-0.1","5c31847f10677f0001ddc781","A3","batch1","","3087","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","184973","0.0-2.0-3.0-1.1","5c31847f10677f0001ddc781","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","186482","0.0-2.0-3.0-0.2","5c31847f10677f0001ddc781","A3","batch1","","1502","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","187509","0.0-2.0-3.0-1.2","5c31847f10677f0001ddc781","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","188324","0.0-2.0-3.0-0.3","5c31847f10677f0001ddc781","A3","batch1","","811","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
