"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1245","0.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9978","0.0-1.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","14097","0.0-2.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","64259","0.0-2.0-1.0-0.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","[{""page_index"":0,""viewing_time"":11595.29999999702},{""page_index"":1,""viewing_time"":8100.5},{""page_index"":2,""viewing_time"":3458},{""page_index"":3,""viewing_time"":7702.5},{""page_index"":4,""viewing_time"":5602.399999991059},{""page_index"":5,""viewing_time"":11010.300000011921},{""page_index"":6,""viewing_time"":2691.3999999910593}]","50160.59999999404","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","65490","0.0-2.0-1.0-1.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","","1230.0999999940395","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","111047","0.0-2.0-1.0-1.0-1.0","5c3764ce3acfeb000154ac66","E1","batch5","","45555.79999999702","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","130833","0.0-2.0-1.0-1.0-2.0","5c3764ce3acfeb000154ac66","E1","batch5","","19783.89999999106","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","145407","0.0-2.0-1.0-1.0-3.0","5c3764ce3acfeb000154ac66","E1","batch5","","14572.20000000298","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","146373","0.0-2.0-1.0-1.0-4.0","5c3764ce3acfeb000154ac66","E1","batch5","","965.7999999970198","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","149914","0.0-2.0-2.0","5c3764ce3acfeb000154ac66","E1","batch5","","3539.2999999970198","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","151475","0.0-2.0-3.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","","1559","tol_practice","","","","tol_peg_2","1559","1559","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1559","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","152779","0.0-2.0-3.0-1.0","5c3764ce3acfeb000154ac66","E1","batch5","","1303","tol_practice","","","","tol_peg_3","1303","1303","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1303","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","153793","0.0-2.0-4.0","5c3764ce3acfeb000154ac66","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","157669","0.0-2.0-5.0-0.0","5c3764ce3acfeb000154ac66","E1","batch5","","3874","tol_practice","","","","tol_peg_1","3874","3874","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3874","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","159042","0.0-2.0-5.0-1.0","5c3764ce3acfeb000154ac66","E1","batch5","","1373","tol_practice","","","","tol_peg_3","1373","1373","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1373","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","159867","0.0-2.0-5.1-0.1","5c3764ce3acfeb000154ac66","E1","batch5","","823","tol_practice","","","","tol_peg_2","823","823","0","[[1,0,0],[0,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","823","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","160616","0.0-2.0-5.1-1.1","5c3764ce3acfeb000154ac66","E1","batch5","","749","tol_practice","","","","tol_peg_1","749","749","0","[[1,3,0],[0,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","749","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","162453","0.0-2.0-5.2-0.2","5c3764ce3acfeb000154ac66","E1","batch5","","1836","tol_practice","","","","tol_peg_1","1836","1836","0","[[1,0,0],[0,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","1836","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","163857","0.0-2.0-5.2-1.2","5c3764ce3acfeb000154ac66","E1","batch5","","1403","tol_practice","","","","tol_peg_2","1403","1403","0","[[1,0,0],[3,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","1403","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","164464","0.0-2.0-5.3-0.3","5c3764ce3acfeb000154ac66","E1","batch5","","607","tol_practice","","","","tol_peg_1","607","607","0","[[0,0,0],[3,0],[2]]","5","[[0,0,0],[3,1],[2]]","practice","607","","","","","","","","","","","","","","",""
