"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","11446","0.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21989","0.0-1.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","34311","0.0-2.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","173283","0.0-2.0-1.0-0.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","[{""page_index"":0,""viewing_time"":33342.89999999851},{""page_index"":1,""viewing_time"":8528.70000000298},{""page_index"":2,""viewing_time"":22902.59999999404},{""page_index"":3,""viewing_time"":21243},{""page_index"":4,""viewing_time"":17347.60000000149},{""page_index"":5,""viewing_time"":31839.89999999851},{""page_index"":6,""viewing_time"":3761.4000000059605}]","138968.6000000015","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","174648","0.0-2.0-1.0-1.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","","1357.1000000014901","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","189550","0.0-2.0-1.0-1.0-1.0","5c3a87a61ede2b000115cf76","D2","batch4","","14894.79999999702","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","191950","0.0-2.0-1.0-1.0-2.0","5c3a87a61ede2b000115cf76","D2","batch4","","2394.2999999970198","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","197780","0.0-2.0-1.0-1.0-3.0","5c3a87a61ede2b000115cf76","D2","batch4","","5824","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","198936","0.0-2.0-1.0-1.0-4.0","5c3a87a61ede2b000115cf76","D2","batch4","","1150.8000000044703","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","203197","0.0-2.0-2.0","5c3a87a61ede2b000115cf76","D2","batch4","","4249.30000000447","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","205706","0.0-2.0-3.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","","2501","tol_practice","","","","tol_peg_2","2501","2501","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2501","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","206593","0.0-2.0-3.0-1.0","5c3a87a61ede2b000115cf76","D2","batch4","","880","tol_practice","","","","tol_peg_3","880","880","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","880","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","207598","0.0-2.0-4.0","5c3a87a61ede2b000115cf76","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","214767","0.0-2.0-5.0-0.0","5c3a87a61ede2b000115cf76","D2","batch4","","7163","tol_practice","","","","tol_peg_1","7163","7163","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","7163","","","","","","","","","","","","","","",""
