"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4846","0.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7861","0.0-1.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10644","0.0-2.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","33450","0.0-2.0-1.0-0.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","[{""page_index"":0,""viewing_time"":5032.5},{""page_index"":1,""viewing_time"":1996.6000000000931},{""page_index"":2,""viewing_time"":1212.8000000000466},{""page_index"":3,""viewing_time"":4688.09999999986},{""page_index"":4,""viewing_time"":1973},{""page_index"":5,""viewing_time"":6904},{""page_index"":6,""viewing_time"":995.8000000000466}]","22803.700000000186","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","34273","0.0-2.0-1.0-1.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","819.8000000000466","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","37872","0.0-2.0-1.0-1.0-1.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","3596","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","39748","0.0-2.0-1.0-1.0-2.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","1869.5","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","41768","0.0-2.0-1.0-1.0-3.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","2016.6999999999534","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","42210","0.0-2.0-1.0-1.0-4.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","439.19999999995343","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","43595","0.0-2.0-2.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","1381.8000000000466","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","45572","0.0-2.0-3.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","1972","tol_practice","","","","tol_peg_2","1972","1972","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1972","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","46356","0.0-2.0-3.0-1.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","780","tol_practice","","","","tol_peg_3","780","780","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","780","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","47366","0.0-2.0-4.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","50031","0.0-2.0-5.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","2663","tol_practice","","","","tol_peg_1","2663","2663","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","2663","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","50731","0.0-2.0-5.0-1.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","699","tol_practice","","","","tol_peg_3","699","699","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","699","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","51407","0.0-2.0-5.1-0.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","674","tol_practice","","","","tol_peg_1","674","674","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","674","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","52146","0.0-2.0-5.1-1.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","737","tol_practice","","","","tol_peg_2","737","737","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","737","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","53149","0.0-2.0-6.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","55358","0.0-2.0-7.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","2207","tol_practice","","","","tol_peg_2","2207","2207","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","2207","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","55964","0.0-2.0-7.0-1.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","603","tol_practice","","","","tol_peg_3","603","603","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","603","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","56720","0.0-2.0-7.1-0.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","754","tol_practice","","","","tol_peg_1","754","754","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","754","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","57107","0.0-2.0-7.1-1.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","385","tol_practice","","","","tol_peg_2","385","385","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","385","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","58117","0.0-2.0-8.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","59765","0.0-2.0-9.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","1643.2999999998137","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","65968","0.0-2.0-10.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","5193","tol_tohand","","","","tol_peg_2","5193","5193","0","[[1,2,0],[0,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","66481","0.0-2.0-10.0-1.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","510","tol_toboard","","","","tol_peg_3","510","510","0","[[1,2,0],[0,0],[3]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","67515","0.0-2.0-10.1-0.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","1032","tol_tohand","","","","tol_peg_1","1032","1032","0","[[1,0,0],[0,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","68231","0.0-2.0-10.1-1.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","716","tol_toboard","","","","tol_peg_2","716","716","0","[[1,0,0],[2,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","68962","0.0-2.0-10.2-0.2","5c4d1a6c9ce35100019dbc88","D2","batch4","","729","tol_tohand","","","","tol_peg_3","729","729","0","[[1,0,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","69521","0.0-2.0-10.2-1.2","5c4d1a6c9ce35100019dbc88","D2","batch4","","557","tol_toboard","","","","tol_peg_1","557","557","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","70525","0.0-2.0-11.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","5193","6954","","","","","","","","","",""
"","","","","","html-button-response","31","71465","0.0-2.0-12.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","938","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","79369","0.0-2.0-13.0-0.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","7902","tol_tohand","","","","tol_peg_1","7902","7902","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","80629","0.0-2.0-13.0-1.0","5c4d1a6c9ce35100019dbc88","D2","batch4","","1259","tol_toboard","","","","tol_peg_2","1259","1259","0","[[1,0,0],[3,2],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","83551","0.0-2.0-13.1-0.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","2920","tol_tohand","","","","tol_peg_1","2920","2920","0","[[0,0,0],[3,2],[0]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","84267","0.0-2.0-13.1-1.1","5c4d1a6c9ce35100019dbc88","D2","batch4","","715","tol_toboard","","","","tol_peg_3","715","715","0","[[0,0,0],[3,2],[1]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
