"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","3730","0.0-0.0","5c6ee20c0506a200015c4275","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","40294","0.0-1.0-0.0","5c6ee20c0506a200015c4275","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","43426","0.0-2.0-0.0","5c6ee20c0506a200015c4275","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","50989","0.0-2.0-1.0","5c6ee20c0506a200015c4275","E1","batch5","","7562.5","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","51796","0.0-2.0-2.0-0.0","5c6ee20c0506a200015c4275","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","62106","0.0-2.0-2.0-1.0","5c6ee20c0506a200015c4275","E1","batch5","spm_respsonse","10305.89999999106","img/question_1_1.jpeg","3","mat_01","4","1","1","10305.89999999106","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","63164","0.0-2.0-2.0-0.1","5c6ee20c0506a200015c4275","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","68036","0.0-2.0-2.0-1.1","5c6ee20c0506a200015c4275","E1","batch5","spm_respsonse","4870.29999999702","img/question_1_2.jpeg","4","mat_02","5","1","1","4870.29999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","69090","0.0-2.0-2.0-0.2","5c6ee20c0506a200015c4275","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","72814","0.0-2.0-2.0-1.2","5c6ee20c0506a200015c4275","E1","batch5","spm_respsonse","3722.5","img/question_1_3.jpeg","0","mat_03","1","1","1","3722.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","73884","0.0-2.0-2.0-0.3","5c6ee20c0506a200015c4275","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","77000","0.0-2.0-2.0-1.3","5c6ee20c0506a200015c4275","E1","batch5","spm_respsonse","3114.5","img/question_1_4.jpeg","1","mat_04","2","1","1","3114.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","78057","0.0-2.0-2.0-0.4","5c6ee20c0506a200015c4275","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","82330","0.0-2.0-2.0-1.4","5c6ee20c0506a200015c4275","E1","batch5","spm_respsonse","4272.20000000298","img/question_1_5.jpeg","5","mat_05","6","1","1","4272.20000000298","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","83394","0.0-2.0-2.0-0.5","5c6ee20c0506a200015c4275","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","86332","0.0-2.0-2.0-1.5","5c6ee20c0506a200015c4275","E1","batch5","spm_respsonse","2936.2999999970198","img/question_1_6.jpeg","2","mat_06","3","1","1","2936.2999999970198","","","","","","","","","","","","","","","","","","","","",""
