"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","12998","0.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18032","0.0-1.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","23152","0.0-2.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","50383","0.0-2.0-1.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","[{""page_index"":0,""viewing_time"":19179.40000000596},{""page_index"":1,""viewing_time"":8049.899999991059}]","27229.60000000894","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","51864","0.0-2.0-1.0-1.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","","1479.7999999970198","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","55028","0.0-2.0-1.0-1.0-1.0","5c8be0dd542fbd0016924f5f","D2","batch4","","3163.2999999970198","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","56247","0.0-2.0-1.0-1.0-2.0","5c8be0dd542fbd0016924f5f","D2","batch4","","1217.7999999970198","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","63541","0.0-2.0-1.0-1.0-3.0","5c8be0dd542fbd0016924f5f","D2","batch4","","7293.20000000298","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","64287","0.0-2.0-1.0-1.0-4.0","5c8be0dd542fbd0016924f5f","D2","batch4","","744.2999999970198","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","66265","0.0-2.0-2.0","5c8be0dd542fbd0016924f5f","D2","batch4","","1976.300000011921","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","71001","0.0-2.0-3.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","","4728.699999988079","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","72009","0.0-2.0-3.0-1.0","5c8be0dd542fbd0016924f5f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","73094","0.0-2.0-3.0-0.1","5c8be0dd542fbd0016924f5f","D2","batch4","","1084.1000000089407","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","74104","0.0-2.0-3.0-1.1","5c8be0dd542fbd0016924f5f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","75204","0.0-2.0-3.0-0.2","5c8be0dd542fbd0016924f5f","D2","batch4","","1098.5999999940395","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","76215","0.0-2.0-3.0-1.2","5c8be0dd542fbd0016924f5f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","77811","0.0-2.0-3.0-0.3","5c8be0dd542fbd0016924f5f","D2","batch4","","1594.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","78824","0.0-2.0-3.0-1.3","5c8be0dd542fbd0016924f5f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","80658","0.0-2.0-3.0-0.4","5c8be0dd542fbd0016924f5f","D2","batch4","","1832.2000000029802","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","81666","0.0-2.0-3.0-1.4","5c8be0dd542fbd0016924f5f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","87004","0.0-2.0-4.0","5c8be0dd542fbd0016924f5f","D2","batch4","","5335.600000008941","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","87809","0.0-2.0-5.0-0.0","5c8be0dd542fbd0016924f5f","D2","batch4","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
