"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1433","0.0-0.0","5cbf75531864210001fb4db2","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9508","0.0-1.0-0.0","5cbf75531864210001fb4db2","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13531","0.0-2.0-0.0","5cbf75531864210001fb4db2","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","25874","0.0-2.0-1.0-0.0","5cbf75531864210001fb4db2","E1","batch5","[{""page_index"":0,""viewing_time"":8274.5},{""page_index"":1,""viewing_time"":4066.1999999284744}]","12341.099999904633","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","27090","0.0-2.0-1.0-1.0-0.0","5cbf75531864210001fb4db2","E1","batch5","","1214.7999999523163","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","29341","0.0-2.0-1.0-1.0-1.0","5cbf75531864210001fb4db2","E1","batch5","","2249.399999976158","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","31107","0.0-2.0-1.0-1.0-2.0","5cbf75531864210001fb4db2","E1","batch5","","1764.5","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","34172","0.0-2.0-1.0-1.0-3.0","5cbf75531864210001fb4db2","E1","batch5","","3064.7999999523163","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","35091","0.0-2.0-1.0-1.0-4.0","5cbf75531864210001fb4db2","E1","batch5","","917.3999999761581","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","37206","0.0-2.0-2.0","5cbf75531864210001fb4db2","E1","batch5","","2114.5","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","39462","0.0-2.0-3.0-0.0","5cbf75531864210001fb4db2","E1","batch5","","2251.399999976158","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","40482","0.0-2.0-3.0-1.0","5cbf75531864210001fb4db2","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","41967","0.0-2.0-3.0-0.1","5cbf75531864210001fb4db2","E1","batch5","","1484.6000000238419","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","42983","0.0-2.0-3.0-1.1","5cbf75531864210001fb4db2","E1","batch5","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","44662","0.0-2.0-3.0-0.2","5cbf75531864210001fb4db2","E1","batch5","","1676.7000000476837","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
