"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","904","0.0-0.0","5cc166b25899270017dd60e2","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","27523","0.0-1.0-0.0","5cc166b25899270017dd60e2","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","31487","0.0-2.0-0.0","5cc166b25899270017dd60e2","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","124992","0.0-2.0-1.0-0.0-0.0","5cc166b25899270017dd60e2","A3","batch1","[{""page_index"":0,""viewing_time"":15496},{""page_index"":1,""viewing_time"":7152.899999976158},{""page_index"":2,""viewing_time"":11151.400000035763},{""page_index"":3,""viewing_time"":22839},{""page_index"":4,""viewing_time"":7976},{""page_index"":5,""viewing_time"":24151},{""page_index"":6,""viewing_time"":4736.899999976158}]","93503.59999996424","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","126017","0.0-2.0-1.0-1.0-0.0","5cc166b25899270017dd60e2","A3","batch1","","1022.8999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","129224","0.0-2.0-1.0-1.0-1.0","5cc166b25899270017dd60e2","A3","batch1","","3204.899999976158","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","132960","0.0-2.0-1.0-1.0-2.0","5cc166b25899270017dd60e2","A3","batch1","","3734.399999976158","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","137000","0.0-2.0-1.0-1.0-3.0","5cc166b25899270017dd60e2","A3","batch1","","4039","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","137837","0.0-2.0-1.0-1.0-4.0","5cc166b25899270017dd60e2","A3","batch1","","836","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","139408","0.0-2.0-1.0-2.0-0.0","5cc166b25899270017dd60e2","A3","batch1","","1568.9000000357628","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
