"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","61227","0.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","179086","0.0-1.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","181577","0.0-2.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","209161","0.0-2.0-1.0-0.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","[{""page_index"":0,""viewing_time"":2815.800000190735},{""page_index"":1,""viewing_time"":1314.7999999523163},{""page_index"":2,""viewing_time"":716.5},{""page_index"":3,""viewing_time"":9550},{""page_index"":4,""viewing_time"":2619.399999856949},{""page_index"":5,""viewing_time"":1247.5},{""page_index"":4,""viewing_time"":4950.400000095367},{""page_index"":5,""viewing_time"":2667.5},{""page_index"":6,""viewing_time"":1701.0999999046326}]","27583.300000190735","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","209992","0.0-2.0-1.0-1.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","830.3999998569489","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","212711","0.0-2.0-1.0-1.0-1.0","5cc70e0861e0b90001c54b87","E1","batch5","","2716.600000143051","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","213758","0.0-2.0-1.0-1.0-2.0","5cc70e0861e0b90001c54b87","E1","batch5","","1045.5","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","217742","0.0-2.0-1.0-1.0-3.0","5cc70e0861e0b90001c54b87","E1","batch5","","3982.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","218309","0.0-2.0-1.0-1.0-4.0","5cc70e0861e0b90001c54b87","E1","batch5","","566.4000000953674","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","221559","0.0-2.0-2.0","5cc70e0861e0b90001c54b87","E1","batch5","","3248.9000000953674","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","224178","0.0-2.0-3.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","2617","tol_practice","","","","tol_peg_2","2617","2617","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2617","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","226943","0.0-2.0-3.0-1.0","5cc70e0861e0b90001c54b87","E1","batch5","","2765","tol_practice","","","","tol_peg_3","2765","2765","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2765","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","227947","0.0-2.0-4.0","5cc70e0861e0b90001c54b87","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","230576","0.0-2.0-5.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","2628","tol_practice","","","","tol_peg_1","2628","2628","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","2628","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","231558","0.0-2.0-5.0-1.0","5cc70e0861e0b90001c54b87","E1","batch5","","982","tol_practice","","","","tol_peg_3","982","982","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","982","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","232492","0.0-2.0-5.1-0.1","5cc70e0861e0b90001c54b87","E1","batch5","","932","tol_practice","","","","tol_peg_1","932","932","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","932","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","233212","0.0-2.0-5.1-1.1","5cc70e0861e0b90001c54b87","E1","batch5","","720","tol_practice","","","","tol_peg_2","720","720","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","720","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","234222","0.0-2.0-6.0","5cc70e0861e0b90001c54b87","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","237592","0.0-2.0-7.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","3369","tol_practice","","","","tol_peg_2","3369","3369","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3369","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","238396","0.0-2.0-7.0-1.0","5cc70e0861e0b90001c54b87","E1","batch5","","804","tol_practice","","","","tol_peg_3","804","804","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","804","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","239359","0.0-2.0-7.1-0.1","5cc70e0861e0b90001c54b87","E1","batch5","","962","tol_practice","","","","tol_peg_1","962","962","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","962","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","240143","0.0-2.0-7.1-1.1","5cc70e0861e0b90001c54b87","E1","batch5","","783","tol_practice","","","","tol_peg_2","783","783","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","783","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","241148","0.0-2.0-8.0","5cc70e0861e0b90001c54b87","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","243192","0.0-2.0-9.0","5cc70e0861e0b90001c54b87","E1","batch5","","2043.5","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","246110","0.0-2.0-10.0-0.0","5cc70e0861e0b90001c54b87","E1","batch5","","1913","tol_tohand","","","","tol_peg_1","1913","1913","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","247192","0.0-2.0-10.0-1.0","5cc70e0861e0b90001c54b87","E1","batch5","","1082","tol_toboard","","","","tol_peg_3","1082","1082","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","247918","0.0-2.0-10.1-0.1","5cc70e0861e0b90001c54b87","E1","batch5","","726","tol_tohand","","","","tol_peg_2","726","726","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","248661","0.0-2.0-10.1-1.1","5cc70e0861e0b90001c54b87","E1","batch5","","743","tol_toboard","","","","tol_peg_1","743","743","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","249376","0.0-2.0-10.2-0.2","5cc70e0861e0b90001c54b87","E1","batch5","","714","tol_tohand","","","","tol_peg_3","714","714","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
