"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","853","0.0-0.0","5ccba9db385fbf0001f55fd6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","318913","0.0-1.0-0.0","5ccba9db385fbf0001f55fd6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","324300","0.0-2.0-0.0","5ccba9db385fbf0001f55fd6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","381744","0.0-2.0-1.0-0.0-0.0","5ccba9db385fbf0001f55fd6","E1","batch5","[{""page_index"":0,""viewing_time"":12736.700000047684},{""page_index"":1,""viewing_time"":5874.899999976158},{""page_index"":2,""viewing_time"":4552.200000047684},{""page_index"":3,""viewing_time"":6876.199999928474},{""page_index"":4,""viewing_time"":1773.3999999761581},{""page_index"":5,""viewing_time"":22190},{""page_index"":6,""viewing_time"":3438}]","57442.10000002384","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","383286","0.0-2.0-1.0-1.0-0.0","5ccba9db385fbf0001f55fd6","E1","batch5","","1539.2999999523163","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","388947","0.0-2.0-1.0-1.0-1.0","5ccba9db385fbf0001f55fd6","E1","batch5","","5659.100000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","390293","0.0-2.0-1.0-1.0-2.0","5ccba9db385fbf0001f55fd6","E1","batch5","","1341.6000000238419","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","393762","0.0-2.0-1.0-1.0-3.0","5ccba9db385fbf0001f55fd6","E1","batch5","","3467.2000000476837","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","394842","0.0-2.0-1.0-1.0-4.0","5ccba9db385fbf0001f55fd6","E1","batch5","","1077","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","396878","0.0-2.0-2.0","5ccba9db385fbf0001f55fd6","E1","batch5","","2032.1000000238419","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
