"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","41540","0.0-0.0","5cd1b38113a10a00013b9eaa","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","52187","0.0-1.0-0.0","5cd1b38113a10a00013b9eaa","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","56125","0.0-2.0-0.0","5cd1b38113a10a00013b9eaa","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","82405","0.0-2.0-1.0-0.0","5cd1b38113a10a00013b9eaa","E1","batch5","[{""page_index"":0,""viewing_time"":19006.69999998808},{""page_index"":1,""viewing_time"":7271}]","26277.899999976158","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","84112","0.0-2.0-1.0-1.0-0.0","5cd1b38113a10a00013b9eaa","E1","batch5","","1705","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","86702","0.0-2.0-1.0-1.0-1.0","5cd1b38113a10a00013b9eaa","E1","batch5","","2587.699999988079","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","88791","0.0-2.0-1.0-1.0-2.0","5cd1b38113a10a00013b9eaa","E1","batch5","","2087.900000035763","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","92757","0.0-2.0-1.0-1.0-3.0","5cd1b38113a10a00013b9eaa","E1","batch5","","3964.399999976158","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","93800","0.0-2.0-1.0-1.0-4.0","5cd1b38113a10a00013b9eaa","E1","batch5","","1042","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","95499","0.0-2.0-2.0","5cd1b38113a10a00013b9eaa","E1","batch5","","1696","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","97832","0.0-2.0-3.0-0.0","5cd1b38113a10a00013b9eaa","E1","batch5","","2328.7999999523163","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","98846","0.0-2.0-3.0-1.0","5cd1b38113a10a00013b9eaa","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","100547","0.0-2.0-3.0-0.1","5cd1b38113a10a00013b9eaa","E1","batch5","","1699.3999999761581","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","101550","0.0-2.0-3.0-1.1","5cd1b38113a10a00013b9eaa","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","103329","0.0-2.0-3.0-0.2","5cd1b38113a10a00013b9eaa","E1","batch5","","1777.2999999523163","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","104350","0.0-2.0-3.0-1.2","5cd1b38113a10a00013b9eaa","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","106488","0.0-2.0-3.0-0.3","5cd1b38113a10a00013b9eaa","E1","batch5","","2136.100000023842","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","107507","0.0-2.0-3.0-1.3","5cd1b38113a10a00013b9eaa","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","108256","0.0-2.0-3.0-0.4","5cd1b38113a10a00013b9eaa","E1","batch5","","746.1999999880791","stim/prac_yes_18_hor_w1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","109263","0.0-2.0-3.0-1.4","5cd1b38113a10a00013b9eaa","E1","batch5","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
