"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","16413","0.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25256","0.0-1.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29084","0.0-2.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","41959","0.0-2.0-1.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","[{""page_index"":0,""viewing_time"":9602.29999999702},{""page_index"":1,""viewing_time"":3270.5999999940395}]","12873.09999999404","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","42933","0.0-2.0-1.0-1.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","","972.9000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","44535","0.0-2.0-1.0-1.0-1.0","5ce49f37dd4e16001771cd1f","A3","batch1","","1600.5999999940395","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","45274","0.0-2.0-1.0-1.0-2.0","5ce49f37dd4e16001771cd1f","A3","batch1","","738.4000000059605","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","48721","0.0-2.0-1.0-1.0-3.0","5ce49f37dd4e16001771cd1f","A3","batch1","","3446.1000000089407","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","49283","0.0-2.0-1.0-1.0-4.0","5ce49f37dd4e16001771cd1f","A3","batch1","","561.2999999970198","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","50187","0.0-2.0-2.0","5ce49f37dd4e16001771cd1f","A3","batch1","","902.6000000089407","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","51415","0.0-2.0-3.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","","1224.800000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","52428","0.0-2.0-3.0-1.0","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","52989","0.0-2.0-3.0-0.1","5ce49f37dd4e16001771cd1f","A3","batch1","","559","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","53998","0.0-2.0-3.0-1.1","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","54577","0.0-2.0-3.0-0.2","5ce49f37dd4e16001771cd1f","A3","batch1","","577.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","55593","0.0-2.0-3.0-1.2","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","56186","0.0-2.0-3.0-0.3","5ce49f37dd4e16001771cd1f","A3","batch1","","591.6000000089407","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","57202","0.0-2.0-3.0-1.3","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","57800","0.0-2.0-3.0-0.4","5ce49f37dd4e16001771cd1f","A3","batch1","","597.4000000059605","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","58813","0.0-2.0-3.0-1.4","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","64850","0.0-2.0-4.0","5ce49f37dd4e16001771cd1f","A3","batch1","","6035.70000000298","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","65655","0.0-2.0-5.0-0.0","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","66838","0.0-2.0-5.0-1.0","5ce49f37dd4e16001771cd1f","A3","batch1","","1181.0999999940395","stim/yes_15_dia_b1u_b.png","f","pattern_response","true","f","pattern_44","1181.0999999940395","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","68151","0.0-2.0-5.0-0.1","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","69049","0.0-2.0-5.0-1.1","5ce49f37dd4e16001771cd1f","A3","batch1","","897.6000000089407","stim/yes_70_ver_b1.png","f","pattern_response","true","f","pattern_80","897.6000000089407","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","70378","0.0-2.0-5.0-0.2","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","70988","0.0-2.0-5.0-1.2","5ce49f37dd4e16001771cd1f","A3","batch1","","608.7999999970198","stim/yes_17_ver_b1_b.png","f","pattern_response","true","f","pattern_46","608.7999999970198","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","72299","0.0-2.0-5.0-0.3","5ce49f37dd4e16001771cd1f","A3","batch1","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
