"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1126","0.0-0.0","5ce973ea6c890100012ea2ae","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","39894","0.0-1.0-0.0","5ce973ea6c890100012ea2ae","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","46997","0.0-2.0-0.0","5ce973ea6c890100012ea2ae","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","100847","0.0-2.0-1.0-0.0","5ce973ea6c890100012ea2ae","E1","batch5","[{""page_index"":0,""viewing_time"":34026.300000190735},{""page_index"":1,""viewing_time"":19821.89999985695}]","53848.700000047684","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","102840","0.0-2.0-1.0-1.0-0.0","5ce973ea6c890100012ea2ae","E1","batch5","","1991","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","113238","0.0-2.0-1.0-1.0-1.0","5ce973ea6c890100012ea2ae","E1","batch5","","10396.899999856949","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","116477","0.0-2.0-1.0-1.0-2.0","5ce973ea6c890100012ea2ae","E1","batch5","","3236.5","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","122773","0.0-2.0-1.0-1.0-3.0","5ce973ea6c890100012ea2ae","E1","batch5","","6295.199999809265","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","123912","0.0-2.0-1.0-1.0-4.0","5ce973ea6c890100012ea2ae","E1","batch5","","1137.9000000953674","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","127948","0.0-2.0-1.0-2.0-0.0","5ce973ea6c890100012ea2ae","E1","batch5","","4033.7999999523163","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","132273","0.0-2.0-1.1-0.1","5ce973ea6c890100012ea2ae","E1","batch5","[{""page_index"":0,""viewing_time"":2717.9000000953674},{""page_index"":1,""viewing_time"":1606}]","4324.300000190735","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","133357","0.0-2.0-1.1-1.1-0.1","5ce973ea6c890100012ea2ae","E1","batch5","","1082.7000000476837","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","136796","0.0-2.0-1.1-1.1-1.1","5ce973ea6c890100012ea2ae","E1","batch5","","3437.5999999046326","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","138704","0.0-2.0-1.1-1.1-2.1","5ce973ea6c890100012ea2ae","E1","batch5","","1906.3999998569489","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","142656","0.0-2.0-1.1-1.1-3.1","5ce973ea6c890100012ea2ae","E1","batch5","","3950.7000000476837","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
