"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1578","0.0-0.0","5cf5134c8f8ff80019e76721","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18210","0.0-1.0-0.0","5cf5134c8f8ff80019e76721","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","22321","0.0-2.0-0.0","5cf5134c8f8ff80019e76721","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","75485","0.0-2.0-1.0-0.0-0.0","5cf5134c8f8ff80019e76721","B2","batch2","[{""page_index"":0,""viewing_time"":7979},{""page_index"":1,""viewing_time"":7470},{""page_index"":2,""viewing_time"":6348},{""page_index"":3,""viewing_time"":9232},{""page_index"":4,""viewing_time"":5606},{""page_index"":5,""viewing_time"":12960},{""page_index"":6,""viewing_time"":3565}]","53160","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","76613","0.0-2.0-1.0-1.0-0.0","5cf5134c8f8ff80019e76721","B2","batch2","","1127","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","82861","0.0-2.0-1.0-1.0-1.0","5cf5134c8f8ff80019e76721","B2","batch2","","6246","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","83975","0.0-2.0-1.0-1.0-2.0","5cf5134c8f8ff80019e76721","B2","batch2","","1113","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","86812","0.0-2.0-1.0-1.0-3.0","5cf5134c8f8ff80019e76721","B2","batch2","","2836","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","87361","0.0-2.0-1.0-1.0-4.0","5cf5134c8f8ff80019e76721","B2","batch2","","549","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","88583","0.0-2.0-2.0","5cf5134c8f8ff80019e76721","B2","batch2","","1221","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
